a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.3812633641778872e+18,CraigSMorgan,2021-04-11 11:10 AM,2021-04-11 12:43 PM,8478499.0,Adin Hill,1381328558816067584,JesseGranger_,2021-04-11 03:29 PM,2021-04-11 03:59 PM,8470594,Marc-Andre Fleury
1.3812934689165312e+18,BellyUpFantasy,2021-04-11 01:10 PM,2021-04-11 01:13 PM,8478499.0,Adin Hill,1381331476113846273,NBCSEdgeHK,2021-04-11 03:41 PM,2021-04-11 03:59 PM,8470594,Marc-Andre Fleury
1.38130854797201e+18,AEKinkopf,2021-04-11 02:09 PM,2021-04-11 02:13 PM,8478499.0,Adin Hill,1381329228696707074,DavidSchoenLVRJ,2021-04-11 03:32 PM,2021-04-11 03:59 PM,8470594,Marc-Andre Fleury
1.3813285588160676e+18,JesseGranger_,2021-04-11 03:29 PM,2021-04-11 03:59 PM,8478499.0,Adin Hill,1381328699954360322,SinBinVegas,2021-04-11 03:30 PM,2021-04-11 03:59 PM,8470594,Marc-Andre Fleury
,,,,,,1381330214282801152,FantasyAlarmNHL,2021-04-11 03:36 PM,2021-04-11 03:59 PM,8470594,Marc-Andre Fleury
,,,,,,1381347516814266371,Five4Howling,2021-04-11 04:44 PM,2021-04-11 04:59 PM,8470594,Marc-Andre Fleury
,,,,,,1381347598590746633,FantasySP,2021-04-11 04:45 PM,2021-04-11 04:59 PM,8470594,Marc-Andre Fleury
