a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1383435548891570181,penguins,2021-04-17 11:01 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,1.3834357322330358e+18,john_wawrow,2021-04-17 11:02 AM,2021-04-17 11:06 AM,8474682.0,Dustin Tokarski
1383435365256626177,PensInsideScoop,2021-04-17 11:01 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,,,,,,
1383436117551194118,937theFan,2021-04-17 11:04 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,,,,,,
1383435391319961609,SethRorabaugh,2021-04-17 11:01 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,,,,,,
1383436117131685892,mattvensel,2021-04-17 11:04 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,,,,,,
1383435732233035777,john_wawrow,2021-04-17 11:02 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,,,,,,
1383435326685806605,TaylorHaasePGH,2021-04-17 11:00 AM,2021-04-17 11:06 AM,8477465,Tristan Jarry,,,,,,
1383441364046606336,ByMHarrington,2021-04-17 11:24 AM,2021-04-17 11:30 AM,8477465,Tristan Jarry,,,,,,
1383442900537659405,NBCSEdgeHK,2021-04-17 11:31 AM,2021-04-17 12:30 PM,8477465,Tristan Jarry,,,,,,
1383443646880444429,FantasyAlarmNHL,2021-04-17 11:34 AM,2021-04-17 12:30 PM,8477465,Tristan Jarry,,,,,,
1383490568718671884,TribSports,2021-04-17 02:40 PM,2021-04-17 02:44 PM,8477465,Tristan Jarry,,,,,,
