a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.390712064239358e+18,BuffaloVogl,2021-05-07 12:56 PM,2021-05-07 12:59 PM,8475920.0,Michael Houser,1390773874271342595,MikeDeFabo,2021-05-07 05:01 PM,2021-05-07 05:59 PM,8476509,Maxime Lagace
1.391037500089639e+18,BuffaloSabres,2021-05-08 10:29 AM,2021-05-08 10:59 AM,8475920.0,Michael Houser,1391049200117366787,penguins,2021-05-08 11:15 AM,2021-05-08 11:29 AM,8476509,Maxime Lagace
,,,,,,1391049326550568962,mattvensel,2021-05-08 11:16 AM,2021-05-08 11:29 AM,8476509,Maxime Lagace
,,,,,,1391049390291292163,OtherNHLCrosby,2021-05-08 11:16 AM,2021-05-08 11:29 AM,8476509,Maxime Lagace
,,,,,,1391049894526431234,ATTSportsNetPIT,2021-05-08 11:18 AM,2021-05-08 11:29 AM,8476509,Maxime Lagace
,,,,,,1391057253524979717,937theFan,2021-05-08 11:47 AM,2021-05-08 11:51 AM,8476509,Maxime Lagace
,,,,,,1391067928099950595,KDPomp,2021-05-08 12:30 PM,2021-05-08 12:39 PM,8476509,Maxime Lagace
,,,,,,1391068013940527107,NBCSEdgeHK,2021-05-08 12:30 PM,2021-05-08 12:39 PM,8476509,Maxime Lagace
,,,,,,1391068379893714946,FantasyAlarmNHL,2021-05-08 12:32 PM,2021-05-08 12:39 PM,8476509,Maxime Lagace
,,,,,,1391094296581967878,pensreport,2021-05-08 02:15 PM,2021-05-08 02:29 PM,8476509,Maxime Lagace
