a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1374763976576405506,RickCarpiniello,2021-03-24 12:44 PM,2021-03-24 12:59 PM,8478048,Igor Shesterkin,1.3750934943064596e+18,NHLFlyers,2021-03-25 10:33 AM,2021-03-25 10:59 AM,8479394.0,Carter Hart
1374763887766159375,MollieeWalkerr,2021-03-24 12:43 PM,2021-03-24 12:59 PM,8478048,Igor Shesterkin,1.3750966178382602e+18,NHLAdamK,2021-03-25 10:45 AM,2021-03-25 10:59 AM,8479394.0,Carter Hart
1374765504175423488,AdamRotter,2021-03-24 12:50 PM,2021-03-24 12:59 PM,8478048,Igor Shesterkin,1.3751240850390712e+18,JameyBaskow,2021-03-25 12:35 PM,2021-03-25 12:38 PM,8479394.0,Carter Hart
1374796940383244293,SNYtv,2021-03-24 02:55 PM,2021-03-24 02:59 PM,8478048,Igor Shesterkin,1.3751284116817347e+18,FlyersKnitty,2021-03-25 12:52 PM,2021-03-25 12:59 PM,8479394.0,Carter Hart
1374802210979127299,theScoreNHL,2021-03-24 03:16 PM,2021-03-24 03:59 PM,8478048,Igor Shesterkin,1.3751535229084058e+18,NBCSEdgeHK,2021-03-25 02:32 PM,2021-03-25 02:38 PM,8479394.0,Carter Hart
1374823648779993089,BlueLineStation,2021-03-24 04:41 PM,2021-03-24 04:59 PM,8478048,Igor Shesterkin,1.3751540152904704e+18,FantasyAlarmNHL,2021-03-25 02:34 PM,2021-03-25 02:38 PM,8479394.0,Carter Hart
1374833288888508417,SportsbookBTC,2021-03-24 05:19 PM,2021-03-24 05:59 PM,8478048,Igor Shesterkin,,,,,,
1374832076403453958,NHL_Goaltenders,2021-03-24 05:14 PM,2021-03-24 05:59 PM,8478048,Igor Shesterkin,,,,,,
1374855442904588295,WFAN660,2021-03-24 06:47 PM,2021-03-24 06:59 PM,8478048,Igor Shesterkin,,,,,,
1374848008517529615,NewsdaySports,2021-03-24 06:18 PM,2021-03-24 06:59 PM,8478048,Igor Shesterkin,,,,,,
1374874793271496706,rcevetto,2021-03-24 08:04 PM,2021-03-24 08:59 PM,8478048,Igor Shesterkin,,,,,,
