a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1383797785116352514,penguins,2021-04-18 11:01 AM,2021-04-18 11:06 AM,8479193,Casey DeSmith,1.3838386991635825e+18,BillHoppeNHL,2021-04-18 01:43 PM,2021-04-18 01:51 PM,8474682.0,Dustin Tokarski
1383798051274301442,ATTSportsNetPIT,2021-04-18 11:02 AM,2021-04-18 11:06 AM,8479193,Casey DeSmith,1.383843529487618e+18,NBCSEdgeHK,2021-04-18 02:03 PM,2021-04-18 02:05 PM,8474682.0,Dustin Tokarski
1383798078000406540,TaylorHaasePGH,2021-04-18 11:02 AM,2021-04-18 11:06 AM,8479193,Casey DeSmith,1.3838437761168916e+18,FantasyAlarmNHL,2021-04-18 02:04 PM,2021-04-18 02:05 PM,8474682.0,Dustin Tokarski
1383803511607992328,FantasyAlarmNHL,2021-04-18 11:24 AM,2021-04-18 11:29 AM,8479193,Casey DeSmith,1.3838444849961615e+18,BellyUpFantasy,2021-04-18 02:06 PM,2021-04-18 02:13 PM,8474682.0,Dustin Tokarski
1383804656770379778,NBCSEdgeHK,2021-04-18 11:28 AM,2021-04-18 11:38 AM,8479193,Casey DeSmith,,,,,,
1383821512004624401,TribSports,2021-04-18 12:35 PM,2021-04-18 12:38 PM,8479193,Casey DeSmith,,,,,,
