id,homeAbbrev,awayAbbrev,est
2017020001,WPG,TOR,2017 October 04 19:00:00
2017020002,PIT,STL,2017 October 04 20:00:00
2017020003,EDM,CGY,2017 October 04 22:00:00
2017020004,SJS,PHI,2017 October 04 22:30:00
2017020005,BOS,NSH,2017 October 05 19:00:00
2017020006,BUF,MTL,2017 October 05 19:00:00
2017020007,NYR,COL,2017 October 05 19:00:00
2017020008,OTT,WSH,2017 October 05 19:30:00
2017020009,DET,MIN,2017 October 05 19:30:00
2017020010,CHI,PIT,2017 October 05 20:30:00
2017020011,ANA,ARI,2017 October 05 22:00:00
2017020012,LAK,PHI,2017 October 05 22:00:00
2017020013,CBJ,NYI,2017 October 06 19:00:00
2017020014,TBL,FLA,2017 October 06 19:30:00
2017020015,DAL,VGK,2017 October 06 20:30:00
2017020016,TOR,NYR,2017 October 07 19:00:00
2017020017,OTT,DET,2017 October 07 19:00:00
2017020018,FLA,TBL,2017 October 07 19:00:00
2017020019,NJD,COL,2017 October 07 14:00:00
2017020020,NYI,BUF,2017 October 07 19:00:00
2017020021,PIT,NSH,2017 October 07 19:00:00
2017020022,WSH,MTL,2017 October 07 19:00:00
2017020023,CAR,MIN,2017 October 07 19:00:00
2017020024,STL,DAL,2017 October 07 20:00:00
2017020025,CHI,CBJ,2017 October 07 20:30:00
2017020026,ARI,VGK,2017 October 07 21:00:00
2017020027,CGY,WPG,2017 October 07 22:00:00
2017020028,VAN,EDM,2017 October 07 22:00:00
2017020029,ANA,PHI,2017 October 07 22:00:00
2017020030,SJS,LAK,2017 October 07 22:30:00
2017020031,NYR,MTL,2017 October 08 19:00:00
2017020032,BOS,COL,2017 October 09 13:00:00
2017020033,NYI,STL,2017 October 09 13:00:00
2017020034,BUF,NJD,2017 October 09 15:00:00
2017020035,TOR,CHI,2017 October 09 19:00:00
2017020036,TBL,WSH,2017 October 09 19:30:00
2017020037,EDM,WPG,2017 October 09 21:00:00
2017020038,ANA,CGY,2017 October 09 22:00:00
2017020039,NYR,STL,2017 October 10 19:00:00
2017020040,CAR,CBJ,2017 October 10 19:00:00
2017020041,MTL,CHI,2017 October 10 19:30:00
2017020042,NSH,PHI,2017 October 10 20:00:00
2017020043,DAL,DET,2017 October 10 20:30:00
2017020044,VAN,OTT,2017 October 10 22:00:00
2017020045,VGK,ARI,2017 October 10 22:00:00
2017020046,TOR,NJD,2017 October 11 19:30:00
2017020047,WSH,PIT,2017 October 11 19:30:00
2017020048,COL,BOS,2017 October 11 21:30:00
2017020049,ANA,NYI,2017 October 11 22:00:00
2017020050,LAK,CGY,2017 October 11 22:30:00
2017020051,TBL,PIT,2017 October 12 19:30:00
2017020052,FLA,STL,2017 October 12 19:30:00
2017020053,NSH,DAL,2017 October 12 20:00:00
2017020054,CHI,MIN,2017 October 12 20:30:00
2017020055,VAN,WPG,2017 October 12 22:00:00
2017020056,ARI,DET,2017 October 12 22:00:00
2017020057,SJS,BUF,2017 October 12 22:30:00
2017020058,NJD,WSH,2017 October 13 19:00:00
2017020059,CBJ,NYR,2017 October 13 19:00:00
2017020060,COL,ANA,2017 October 13 21:00:00
2017020061,CGY,OTT,2017 October 13 21:00:00
2017020062,VGK,DET,2017 October 13 22:30:00
2017020063,MTL,TOR,2017 October 14 19:00:00
2017020064,TBL,STL,2017 October 14 19:00:00
2017020065,NYR,NJD,2017 October 14 19:00:00
2017020066,PHI,WSH,2017 October 14 19:00:00
2017020067,PIT,FLA,2017 October 14 19:00:00
2017020068,WPG,CAR,2017 October 14 19:00:00
2017020069,DAL,COL,2017 October 14 20:00:00
2017020070,MIN,CBJ,2017 October 14 20:00:00
2017020071,CHI,NSH,2017 October 14 20:30:00
2017020072,ARI,BOS,2017 October 14 21:00:00
2017020073,EDM,OTT,2017 October 14 22:00:00
2017020074,VAN,CGY,2017 October 14 22:00:00
2017020075,LAK,BUF,2017 October 14 22:30:00
2017020076,SJS,NYI,2017 October 14 22:30:00
2017020077,VGK,BOS,2017 October 15 19:00:00
2017020078,ANA,BUF,2017 October 15 21:00:00
2017020079,LAK,NYI,2017 October 15 22:30:00
2017020080,DET,TBL,2017 October 16 19:30:00
2017020081,NJD,TBL,2017 October 17 19:30:00
2017020082,NYR,PIT,2017 October 17 19:00:00
2017020083,PHI,FLA,2017 October 17 19:00:00
2017020084,WSH,TOR,2017 October 17 19:00:00
2017020085,OTT,VAN,2017 October 17 19:30:00
2017020086,NSH,COL,2017 October 17 20:00:00
2017020087,WPG,CBJ,2017 October 17 20:00:00
2017020088,DAL,ARI,2017 October 17 20:30:00
2017020089,EDM,CAR,2017 October 17 21:00:00
2017020090,VGK,BUF,2017 October 17 22:00:00
2017020091,SJS,MTL,2017 October 17 22:30:00
2017020092,TOR,DET,2017 October 18 19:30:00
2017020093,STL,CHI,2017 October 18 20:00:00
2017020094,LAK,MTL,2017 October 18 22:30:00
2017020095,BOS,VAN,2017 October 19 19:00:00
2017020096,NYR,NYI,2017 October 19 19:00:00
2017020097,PHI,NSH,2017 October 19 19:00:00
2017020098,CBJ,TBL,2017 October 19 19:00:00
2017020099,OTT,NJD,2017 October 19 19:30:00
2017020100,CHI,EDM,2017 October 19 20:30:00
2017020101,COL,STL,2017 October 19 21:00:00
2017020102,CGY,CAR,2017 October 19 21:00:00
2017020103,ARI,DAL,2017 October 19 22:00:00
2017020104,BUF,VAN,2017 October 20 19:00:00
2017020105,NJD,SJS,2017 October 20 19:00:00
2017020106,DET,WSH,2017 October 20 19:30:00
2017020107,FLA,PIT,2017 October 20 19:30:00
2017020108,WPG,MIN,2017 October 20 20:00:00
2017020109,ANA,MTL,2017 October 20 22:00:00
2017020110,NYR,NSH,2017 October 21 12:30:00
2017020111,PHI,EDM,2017 October 21 13:00:00
2017020112,BOS,BUF,2017 October 21 19:00:00
2017020113,OTT,TOR,2017 October 21 19:00:00
2017020114,TBL,PIT,2017 October 21 19:00:00
2017020115,NYI,SJS,2017 October 21 19:00:00
2017020116,WSH,FLA,2017 October 21 19:30:00
2017020117,CBJ,LAK,2017 October 21 19:00:00
2017020118,DAL,CAR,2017 October 21 20:00:00
2017020119,ARI,CHI,2017 October 21 21:00:00
2017020120,CGY,MIN,2017 October 21 22:00:00
2017020121,VGK,STL,2017 October 21 22:30:00
2017020122,DET,VAN,2017 October 22 19:00:00
2017020123,TOR,LAK,2017 October 23 19:00:00
2017020124,NYR,SJS,2017 October 23 19:00:00
2017020125,BUF,DET,2017 October 24 19:30:00
2017020126,NYI,ARI,2017 October 24 19:00:00
2017020127,PHI,ANA,2017 October 24 19:00:00
2017020128,PIT,EDM,2017 October 24 19:00:00
2017020129,CAR,TBL,2017 October 24 19:00:00
2017020130,MTL,FLA,2017 October 24 19:30:00
2017020131,OTT,LAK,2017 October 24 19:30:00
2017020132,NSH,CGY,2017 October 24 20:00:00
2017020133,MIN,VAN,2017 October 24 20:00:00
2017020134,COL,DAL,2017 October 24 21:00:00
2017020135,VGK,CHI,2017 October 24 22:00:00
2017020136,CBJ,BUF,2017 October 25 20:00:00
2017020137,STL,CGY,2017 October 25 20:00:00
2017020138,BOS,SJS,2017 October 26 19:00:00
2017020139,TOR,CAR,2017 October 26 19:00:00
2017020140,NYR,ARI,2017 October 26 19:00:00
2017020141,PIT,WPG,2017 October 26 19:00:00
2017020142,MTL,LAK,2017 October 26 19:30:00
2017020143,OTT,PHI,2017 October 26 19:30:00
2017020144,TBL,DET,2017 October 26 19:30:00
2017020145,FLA,ANA,2017 October 26 19:30:00
2017020146,MIN,NYI,2017 October 26 20:00:00
2017020147,EDM,DAL,2017 October 26 21:00:00
2017020148,VAN,WSH,2017 October 26 22:00:00
2017020149,VGK,COL,2017 October 27 18:00:00
2017020150,NJD,OTT,2017 October 27 19:00:00
2017020151,CBJ,WPG,2017 October 27 19:00:00
2017020152,CAR,STL,2017 October 27 19:30:00
2017020153,CHI,NSH,2017 October 27 20:30:00
2017020154,CGY,DAL,2017 October 27 21:00:00
2017020155,BUF,SJS,2017 October 28 13:00:00
2017020156,BOS,LAK,2017 October 28 19:00:00
2017020157,TOR,PHI,2017 October 28 19:00:00
2017020158,MTL,NYR,2017 October 28 19:00:00
2017020159,TBL,ANA,2017 October 28 19:00:00
2017020160,FLA,DET,2017 October 28 19:00:00
2017020161,NJD,ARI,2017 October 28 19:00:00
2017020162,STL,CBJ,2017 October 28 20:00:00
2017020163,NSH,NYI,2017 October 28 20:00:00
2017020164,MIN,PIT,2017 October 28 20:00:00
2017020165,COL,CHI,2017 October 28 21:00:00
2017020166,EDM,WSH,2017 October 28 22:00:00
2017020167,CAR,ANA,2017 October 29 17:00:00
2017020168,WPG,PIT,2017 October 29 19:00:00
2017020169,CGY,WSH,2017 October 29 21:00:00
2017020170,NYI,VGK,2017 October 30 19:00:00
2017020171,PHI,ARI,2017 October 30 19:00:00
