id,homeAbbrev,awayAbbrev,est
2021020123,CGY,PHI,2021 October 30 22:00:00
2021020124,VAN,EDM,2021 October 30 22:00:00
2021020125,LAK,MTL,2021 October 30 16:00:00
2021020126,SJS,WPG,2021 October 30 19:00:00
2021020127,NJD,CBJ,2021 October 31 17:00:00
2021020128,CAR,ARI,2021 October 31 13:00:00
2021020129,ANA,MTL,2021 October 31 16:00:00
2021020130,LAK,BUF,2021 October 31 16:00:00
2021020131,SEA,NYR,2021 October 31 21:00:00
2021020132,TBL,WSH,2021 November 01 19:00:00
2021020133,CHI,OTT,2021 November 01 20:00:00
2021020134,EDM,SEA,2021 November 01 21:30:00
2021020135,TOR,VGK,2021 November 02 19:00:00
2021020136,MTL,DET,2021 November 02 19:00:00
2021020137,PHI,ARI,2021 November 02 19:00:00
2021020138,MIN,OTT,2021 November 02 20:00:00
2021020139,WPG,DAL,2021 November 02 20:00:00
2021020140,CGY,NSH,2021 November 02 21:00:00
2021020141,VAN,NYR,2021 November 02 22:00:00
2021020142,ANA,NJD,2021 November 02 22:00:00
2021020143,SJS,BUF,2021 November 02 22:30:00
2021020144,CHI,CAR,2021 November 03 20:30:00
2021020145,COL,CBJ,2021 November 03 21:00:00
2021020146,EDM,NSH,2021 November 03 20:30:00
2021020147,LAK,STL,2021 November 03 22:00:00
2021020148,BOS,DET,2021 November 04 19:00:00
2021020149,TOR,TBL,2021 November 04 19:00:00
2021020150,MTL,NYI,2021 November 04 19:00:00
2021020151,OTT,VGK,2021 November 04 19:00:00
2021020152,FLA,WSH,2021 November 04 19:00:00
2021020153,PIT,PHI,2021 November 04 19:00:00
2021020154,CGY,DAL,2021 November 04 21:00:00
2021020155,SJS,STL,2021 November 04 22:30:00
2021020156,SEA,BUF,2021 November 04 22:00:00
2021020157,WPG,CHI,2021 November 05 20:00:00
2021020158,EDM,NYR,2021 November 05 21:30:00
2021020159,VAN,NSH,2021 November 05 22:00:00
2021020160,ANA,ARI,2021 November 05 22:00:00
2021020161,LAK,NJD,2021 November 05 22:30:00
2021020162,BUF,DET,2021 November 06 19:00:00
2021020163,TOR,BOS,2021 November 06 19:00:00
2021020164,MTL,VGK,2021 November 06 19:00:00
2021020165,OTT,TBL,2021 November 06 14:00:00
2021020166,FLA,CAR,2021 November 06 18:00:00
2021020167,PIT,MIN,2021 November 06 19:00:00
