id,homeAbbrev,awayAbbrev,est
2013020001,MTL,TOR,2013 October 01 19:00:00
2013020002,CHI,WSH,2013 October 01 20:00:00
2013020003,EDM,WPG,2013 October 01 22:00:00
2013020004,PHI,TOR,2013 October 02 19:30:00
2013020005,DET,BUF,2013 October 02 20:00:00
2013020006,COL,ANA,2013 October 02 21:30:00
2013020007,BOS,TBL,2013 October 03 19:00:00
2013020008,PIT,NJD,2013 October 03 19:00:00
2013020009,WSH,CGY,2013 October 03 19:00:00
2013020010,STL,NSH,2013 October 03 20:30:00
2013020011,MIN,LAK,2013 October 03 20:00:00
2013020012,DAL,FLA,2013 October 03 20:30:00
2013020013,ARI,NYR,2013 October 03 22:00:00
2013020014,SJS,VAN,2013 October 03 22:00:00
2013020015,BUF,OTT,2013 October 04 19:00:00
2013020016,NJD,NYI,2013 October 04 19:00:00
2013020017,CAR,DET,2013 October 04 19:00:00
2013020018,CBJ,CGY,2013 October 04 19:00:00
2013020019,WPG,LAK,2013 October 04 20:00:00
2013020020,COL,NSH,2013 October 04 21:00:00
2013020021,BOS,DET,2013 October 05 19:00:00
2013020022,TOR,OTT,2013 October 05 19:00:00
2013020023,MTL,PHI,2013 October 05 19:00:00
2013020024,NYI,CBJ,2013 October 05 19:00:00
2013020025,PIT,BUF,2013 October 05 19:00:00
2013020026,CHI,TBL,2013 October 05 20:00:00
2013020027,STL,FLA,2013 October 05 20:00:00
2013020028,DAL,WSH,2013 October 05 20:00:00
2013020029,MIN,ANA,2013 October 05 20:00:00
2013020030,VAN,EDM,2013 October 05 22:00:00
2013020031,SJS,ARI,2013 October 05 22:30:00
2013020032,CAR,PHI,2013 October 06 17:00:00
2013020033,WPG,ANA,2013 October 06 20:00:00
2013020034,CGY,VAN,2013 October 06 20:00:00
2013020035,EDM,NJD,2013 October 07 21:30:00
2013020036,LAK,NYR,2013 October 07 22:30:00
2013020037,TOR,COL,2013 October 08 19:00:00
2013020038,NYI,ARI,2013 October 08 19:00:00
2013020039,PHI,FLA,2013 October 08 19:00:00
2013020040,PIT,CAR,2013 October 08 19:00:00
2013020041,BUF,TBL,2013 October 08 19:30:00
2013020042,NSH,MIN,2013 October 08 20:00:00
2013020043,VAN,NJD,2013 October 08 22:00:00
2013020044,SJS,NYR,2013 October 08 22:30:00
2013020045,STL,CHI,2013 October 09 20:00:00
2013020046,CGY,MTL,2013 October 09 20:00:00
2013020047,LAK,OTT,2013 October 09 22:30:00
2013020048,BOS,COL,2013 October 10 19:00:00
2013020049,BUF,CBJ,2013 October 10 19:00:00
2013020050,WSH,CAR,2013 October 10 19:00:00
2013020051,DET,ARI,2013 October 10 19:30:00
2013020052,TBL,FLA,2013 October 10 19:30:00
2013020053,NSH,TOR,2013 October 10 20:00:00
2013020054,MIN,WPG,2013 October 10 20:00:00
2013020055,EDM,MTL,2013 October 10 21:30:00
2013020056,VAN,SJS,2013 October 10 22:00:00
2013020057,ANA,NYR,2013 October 10 22:00:00
2013020058,PHI,ARI,2013 October 11 19:00:00
2013020059,CAR,LAK,2013 October 11 19:00:00
2013020060,FLA,PIT,2013 October 11 19:30:00
2013020061,CHI,NYI,2013 October 11 20:00:00
2013020062,WPG,DAL,2013 October 11 20:00:00
2013020063,CGY,NJD,2013 October 11 21:00:00
2013020064,TOR,EDM,2013 October 12 19:00:00
2013020065,DET,PHI,2013 October 12 19:00:00
2013020066,TBL,PIT,2013 October 12 19:00:00
2013020067,WSH,COL,2013 October 12 19:00:00
2013020068,CBJ,BOS,2013 October 12 14:00:00
2013020069,CHI,BUF,2013 October 12 20:00:00
2013020070,STL,NYR,2013 October 12 20:00:00
2013020071,NSH,NYI,2013 October 12 20:00:00
2013020072,MIN,DAL,2013 October 12 20:00:00
2013020073,VAN,MTL,2013 October 12 22:00:00
2013020074,SJS,OTT,2013 October 12 22:00:00
2013020075,CAR,ARI,2013 October 13 13:00:00
2013020076,FLA,LAK,2013 October 13 15:00:00
2013020077,WPG,NJD,2013 October 13 20:00:00
2013020078,ANA,OTT,2013 October 13 20:00:00
2013020079,BOS,DET,2013 October 14 13:00:00
2013020080,WSH,EDM,2013 October 14 19:00:00
2013020081,BUF,MIN,2013 October 14 19:30:00
2013020082,TOR,MIN,2013 October 15 19:00:00
2013020083,NYI,BUF,2013 October 15 19:00:00
