id,homeAbbrev,awayAbbrev,est
2016020001,OTT,TOR,2016 October 12 19:00:00
2016020002,CHI,STL,2016 October 12 20:00:00
2016020003,EDM,CGY,2016 October 12 22:00:00
2016020004,SJS,LAK,2016 October 12 22:30:00
2016020005,BUF,MTL,2016 October 13 19:00:00
2016020006,NYR,NYI,2016 October 13 19:00:00
2016020007,PIT,WSH,2016 October 13 20:00:00
2016020008,CBJ,BOS,2016 October 13 19:00:00
2016020009,TBL,DET,2016 October 13 19:30:00
2016020010,FLA,NJD,2016 October 13 19:30:00
2016020011,STL,MIN,2016 October 13 20:00:00
2016020012,WPG,CAR,2016 October 13 20:00:00
2016020013,DAL,ANA,2016 October 13 20:30:00
2016020014,NSH,CHI,2016 October 14 20:00:00
2016020015,CGY,EDM,2016 October 14 21:00:00
2016020016,LAK,PHI,2016 October 14 22:30:00
2016020017,TOR,BOS,2016 October 15 19:00:00
2016020018,OTT,MTL,2016 October 15 19:00:00
2016020019,TBL,NJD,2016 October 15 19:00:00
2016020020,FLA,DET,2016 October 15 19:00:00
2016020021,PIT,ANA,2016 October 15 19:00:00
2016020022,WSH,NYI,2016 October 15 19:00:00
2016020023,CBJ,SJS,2016 October 15 19:00:00
2016020024,MIN,WPG,2016 October 15 19:00:00
2016020025,STL,NYR,2016 October 15 20:00:00
2016020026,CHI,NSH,2016 October 15 20:30:00
2016020027,COL,DAL,2016 October 15 21:00:00
2016020028,ARI,PHI,2016 October 15 21:00:00
2016020029,VAN,CGY,2016 October 15 22:00:00
2016020030,NYI,ANA,2016 October 16 18:00:00
2016020031,EDM,BUF,2016 October 16 19:00:00
2016020032,VAN,CAR,2016 October 16 22:00:00
2016020033,NYR,SJS,2016 October 17 19:00:00
2016020034,PIT,COL,2016 October 17 19:00:00
2016020035,DET,OTT,2016 October 17 19:30:00
2016020036,WPG,BOS,2016 October 17 20:00:00
2016020037,NJD,ANA,2016 October 18 19:00:00
2016020038,NYI,SJS,2016 October 18 19:00:00
2016020039,WSH,COL,2016 October 18 19:00:00
2016020040,MTL,PIT,2016 October 18 19:30:00
2016020041,OTT,ARI,2016 October 18 19:30:00
2016020042,TBL,FLA,2016 October 18 19:30:00
2016020043,NSH,DAL,2016 October 18 20:00:00
