id,homeAbbrev,awayAbbrev,est
2015020001,TOR,MTL,2015 October 07 19:00:00
2015020002,CHI,NYR,2015 October 07 20:00:00
2015020003,CGY,VAN,2015 October 07 22:00:00
2015020004,LAK,SJS,2015 October 07 22:30:00
2015020005,BOS,WPG,2015 October 08 19:00:00
2015020006,BUF,OTT,2015 October 08 19:00:00
2015020007,TBL,PHI,2015 October 08 19:30:00
2015020008,STL,EDM,2015 October 08 20:00:00
2015020009,NSH,CAR,2015 October 08 20:00:00
2015020010,DAL,PIT,2015 October 08 20:30:00
2015020011,COL,MIN,2015 October 08 21:00:00
2015020012,NJD,WPG,2015 October 09 19:00:00
2015020013,CBJ,NYR,2015 October 09 19:00:00
2015020014,DET,TOR,2015 October 09 19:30:00
2015020015,NYI,CHI,2015 October 09 19:30:00
2015020016,LAK,ARI,2015 October 09 22:30:00
2015020017,BUF,TBL,2015 October 10 13:00:00
2015020018,BOS,MTL,2015 October 10 19:00:00
2015020019,TOR,OTT,2015 October 10 19:00:00
2015020020,FLA,PHI,2015 October 10 19:00:00
2015020021,NYR,CBJ,2015 October 10 19:00:00
2015020022,WSH,NJD,2015 October 10 19:00:00
2015020023,CAR,DET,2015 October 10 19:00:00
2015020024,NSH,EDM,2015 October 10 19:00:00
2015020025,MIN,STL,2015 October 10 20:00:00
2015020026,CHI,NYI,2015 October 10 20:30:00
2015020027,COL,DAL,2015 October 10 21:00:00
2015020028,VAN,CGY,2015 October 10 22:00:00
2015020029,ARI,PIT,2015 October 10 22:00:00
2015020030,SJS,ANA,2015 October 10 22:30:00
2015020031,OTT,MTL,2015 October 11 19:00:00
2015020032,BOS,TBL,2015 October 12 13:00:00
2015020033,NYI,WPG,2015 October 12 13:00:00
2015020034,BUF,CBJ,2015 October 12 15:00:00
2015020035,PHI,FLA,2015 October 12 19:00:00
2015020036,ANA,VAN,2015 October 12 22:00:00
2015020037,NJD,NSH,2015 October 13 19:00:00
2015020038,NYR,WPG,2015 October 13 19:00:00
2015020039,PIT,MTL,2015 October 13 19:00:00
2015020040,WSH,SJS,2015 October 13 19:00:00
2015020041,CAR,FLA,2015 October 13 19:00:00
2015020042,DET,TBL,2015 October 13 19:30:00
2015020043,DAL,EDM,2015 October 13 20:30:00
2015020044,CGY,STL,2015 October 13 21:00:00
2015020045,LAK,VAN,2015 October 13 22:30:00
2015020046,CBJ,OTT,2015 October 14 19:00:00
2015020047,PHI,CHI,2015 October 14 20:00:00
2015020048,COL,BOS,2015 October 14 22:00:00
2015020049,ANA,ARI,2015 October 14 22:30:00
2015020050,NYI,NSH,2015 October 15 19:00:00
2015020051,PIT,OTT,2015 October 15 19:00:00
2015020052,WSH,CHI,2015 October 15 19:00:00
2015020053,MTL,NYR,2015 October 15 19:30:00
2015020054,TBL,DAL,2015 October 15 19:30:00
2015020055,FLA,BUF,2015 October 15 19:30:00
2015020056,EDM,STL,2015 October 15 21:00:00
2015020057,ARI,MIN,2015 October 15 22:00:00
2015020058,NJD,SJS,2015 October 16 19:00:00
2015020059,CBJ,TOR,2015 October 16 19:00:00
2015020060,DET,CAR,2015 October 16 19:30:00
2015020061,WPG,CGY,2015 October 16 20:00:00
2015020062,VAN,STL,2015 October 16 22:00:00
2015020063,ANA,COL,2015 October 16 22:00:00
2015020064,LAK,MIN,2015 October 16 22:30:00
2015020065,MTL,DET,2015 October 17 19:00:00
2015020066,OTT,NSH,2015 October 17 19:00:00
2015020067,TBL,BUF,2015 October 17 19:00:00
2015020068,FLA,DAL,2015 October 17 19:00:00
2015020069,PIT,TOR,2015 October 17 19:00:00
2015020070,WSH,CAR,2015 October 17 19:00:00
2015020071,NYI,SJS,2015 October 17 19:30:00
2015020072,CHI,CBJ,2015 October 17 20:30:00
2015020073,CGY,EDM,2015 October 17 22:00:00
2015020074,ARI,BOS,2015 October 17 22:00:00
2015020075,NYR,NJD,2015 October 18 13:00:00
2015020076,WPG,STL,2015 October 18 15:00:00
2015020077,ANA,MIN,2015 October 18 20:00:00
2015020078,VAN,EDM,2015 October 18 21:00:00
2015020079,LAK,COL,2015 October 18 22:00:00
2015020080,NYR,SJS,2015 October 19 19:00:00
2015020081,NJD,ARI,2015 October 20 19:00:00
2015020082,PHI,DAL,2015 October 20 19:30:00
2015020083,PIT,FLA,2015 October 20 19:00:00
2015020084,CBJ,NYI,2015 October 20 19:00:00
2015020085,MTL,STL,2015 October 20 19:30:00
2015020086,NSH,TBL,2015 October 20 20:00:00
2015020087,CGY,WSH,2015 October 20 21:00:00
2015020088,BUF,TOR,2015 October 21 19:00:00
2015020089,BOS,PHI,2015 October 21 20:00:00
2015020090,EDM,DET,2015 October 21 21:30:00
2015020091,COL,CAR,2015 October 21 22:00:00
2015020092,NYR,ARI,2015 October 22 19:00:00
2015020093,PIT,DAL,2015 October 22 19:00:00
2015020094,OTT,NJD,2015 October 22 19:30:00
2015020095,NSH,ANA,2015 October 22 20:00:00
2015020096,MIN,CBJ,2015 October 22 20:00:00
2015020097,CHI,FLA,2015 October 22 20:30:00
2015020098,VAN,WSH,2015 October 22 22:00:00
2015020099,SJS,LAK,2015 October 22 22:30:00
2015020100,BUF,MTL,2015 October 23 19:00:00
2015020101,NYI,BOS,2015 October 23 19:30:00
2015020102,WPG,TBL,2015 October 23 20:00:00
2015020103,CGY,DET,2015 October 23 21:00:00
2015020104,EDM,WSH,2015 October 23 21:00:00
2015020105,LAK,CAR,2015 October 23 22:30:00
2015020106,MIN,ANA,2015 October 24 18:00:00
2015020107,BUF,NJD,2015 October 24 19:00:00
2015020108,MTL,TOR,2015 October 24 19:00:00
2015020109,OTT,ARI,2015 October 24 19:00:00
2015020110,PHI,NYR,2015 October 24 19:00:00
2015020111,STL,NYI,2015 October 24 20:00:00
2015020112,NSH,PIT,2015 October 24 20:00:00
2015020113,DAL,FLA,2015 October 24 20:00:00
2015020114,CHI,TBL,2015 October 24 20:30:00
2015020115,COL,CBJ,2015 October 24 21:00:00
2015020116,VAN,DET,2015 October 24 22:00:00
2015020117,SJS,CAR,2015 October 24 22:30:00
2015020118,WPG,MIN,2015 October 25 18:00:00
2015020119,NYR,CGY,2015 October 25 19:00:00
2015020120,EDM,LAK,2015 October 25 21:30:00
2015020121,NYI,CGY,2015 October 26 19:00:00
2015020122,TOR,ARI,2015 October 26 19:30:00
2015020123,CHI,ANA,2015 October 26 20:30:00
2015020124,BOS,ARI,2015 October 27 19:00:00
2015020125,NJD,CBJ,2015 October 27 19:00:00
2015020126,PHI,BUF,2015 October 27 19:00:00
2015020127,DET,CAR,2015 October 27 19:30:00
2015020128,FLA,COL,2015 October 27 19:30:00
2015020129,STL,TBL,2015 October 27 20:00:00
2015020130,MIN,EDM,2015 October 27 20:00:00
2015020131,WPG,LAK,2015 October 27 20:00:00
2015020132,DAL,ANA,2015 October 27 20:30:00
2015020133,VAN,MTL,2015 October 27 22:00:00
2015020134,OTT,CGY,2015 October 28 19:30:00
2015020135,WSH,PIT,2015 October 28 20:00:00
2015020136,SJS,NSH,2015 October 28 22:30:00
2015020137,NYI,CAR,2015 October 29 19:00:00
2015020138,PHI,NJD,2015 October 29 19:00:00
2015020139,PIT,BUF,2015 October 29 19:00:00
2015020140,TBL,COL,2015 October 29 19:30:00
2015020141,STL,ANA,2015 October 29 20:00:00
2015020142,WPG,CHI,2015 October 29 20:00:00
2015020143,DAL,VAN,2015 October 29 20:30:00
2015020144,EDM,MTL,2015 October 29 21:00:00
2015020145,BUF,PHI,2015 October 30 19:00:00
2015020146,NYR,TOR,2015 October 30 19:00:00
2015020147,WSH,CBJ,2015 October 30 19:00:00
2015020148,CAR,COL,2015 October 30 19:00:00
2015020149,DET,OTT,2015 October 30 19:30:00
2015020150,FLA,BOS,2015 October 30 19:30:00
2015020151,MIN,CHI,2015 October 30 20:00:00
2015020152,CGY,MTL,2015 October 30 21:00:00
2015020153,ARI,VAN,2015 October 30 22:00:00
2015020154,NJD,NYI,2015 October 31 13:00:00
2015020155,DAL,SJS,2015 October 31 15:00:00
2015020156,LAK,NSH,2015 October 31 16:00:00
2015020157,TOR,PIT,2015 October 31 19:00:00
2015020158,OTT,DET,2015 October 31 19:00:00
2015020159,TBL,BOS,2015 October 31 19:00:00
2015020160,FLA,WSH,2015 October 31 19:00:00
2015020161,CBJ,WPG,2015 October 31 19:00:00
2015020162,STL,MIN,2015 October 31 20:00:00
2015020163,EDM,CGY,2015 October 31 22:00:00
2015020164,COL,SJS,2015 November 01 15:00:00
2015020165,CAR,TBL,2015 November 01 17:00:00
2015020166,MTL,WPG,2015 November 01 19:00:00
2015020167,NYI,BUF,2015 November 01 19:30:00
2015020168,ANA,NSH,2015 November 01 20:00:00
2015020169,TOR,DAL,2015 November 02 19:30:00
2015020170,CHI,LAK,2015 November 02 20:30:00
2015020171,VAN,PHI,2015 November 02 22:00:00
2015020172,BOS,DAL,2015 November 03 19:00:00
2015020173,NYI,NJD,2015 November 03 19:00:00
2015020174,NYR,WSH,2015 November 03 19:00:00
2015020175,MTL,OTT,2015 November 03 19:30:00
2015020176,DET,TBL,2015 November 03 19:30:00
2015020177,STL,LAK,2015 November 03 20:30:00
2015020178,COL,CGY,2015 November 03 21:00:00
2015020179,EDM,PHI,2015 November 03 21:00:00
2015020180,SJS,CBJ,2015 November 03 22:30:00
2015020181,TOR,WPG,2015 November 04 19:00:00
2015020182,CHI,STL,2015 November 04 20:00:00
2015020183,VAN,PIT,2015 November 04 22:00:00
2015020184,ANA,FLA,2015 November 04 22:30:00
2015020185,BUF,TBL,2015 November 05 19:00:00
2015020186,WSH,BOS,2015 November 05 19:00:00
2015020187,MTL,NYI,2015 November 05 19:30:00
2015020188,OTT,WPG,2015 November 05 19:30:00
2015020189,MIN,NSH,2015 November 05 20:00:00
2015020190,CGY,PHI,2015 November 05 21:00:00
2015020191,ARI,COL,2015 November 05 21:00:00
2015020192,LAK,CBJ,2015 November 05 22:30:00
2015020193,SJS,FLA,2015 November 05 22:30:00
2015020194,TOR,DET,2015 November 06 19:00:00
2015020195,NJD,CHI,2015 November 06 19:00:00
2015020196,CAR,DAL,2015 November 06 19:00:00
2015020197,COL,NYR,2015 November 06 21:00:00
2015020198,EDM,PIT,2015 November 06 21:00:00
2015020199,ANA,CBJ,2015 November 06 22:00:00
2015020200,BUF,VAN,2015 November 07 13:00:00
2015020201,LAK,FLA,2015 November 07 16:00:00
2015020202,MTL,BOS,2015 November 07 19:00:00
2015020203,WSH,TOR,2015 November 07 19:00:00
2015020204,CAR,OTT,2015 November 07 19:00:00
2015020205,WPG,PHI,2015 November 07 19:00:00
2015020206,NSH,STL,2015 November 07 20:00:00
2015020207,MIN,TBL,2015 November 07 20:00:00
2015020208,ARI,NYR,2015 November 07 21:00:00
2015020209,CGY,PIT,2015 November 07 22:00:00
2015020210,SJS,ANA,2015 November 07 22:30:00
2015020211,DET,DAL,2015 November 08 15:00:00
2015020212,NJD,VAN,2015 November 08 17:00:00
2015020213,NYI,BOS,2015 November 08 17:00:00
2015020214,CHI,EDM,2015 November 08 20:00:00
2015020215,ANA,ARI,2015 November 09 22:00:00
2015020216,NJD,STL,2015 November 10 19:00:00
2015020217,NYR,CAR,2015 November 10 19:00:00
2015020218,PHI,COL,2015 November 10 19:00:00
2015020219,CBJ,VAN,2015 November 10 19:00:00
2015020220,DET,WSH,2015 November 10 19:30:00
2015020221,TBL,BUF,2015 November 10 19:30:00
2015020222,FLA,CGY,2015 November 10 19:30:00
2015020223,NSH,OTT,2015 November 10 20:00:00
2015020224,MIN,WPG,2015 November 10 20:00:00
2015020225,DAL,TOR,2015 November 10 20:30:00
2015020226,LAK,ARI,2015 November 10 22:30:00
2015020227,SJS,NYI,2015 November 10 22:30:00
2015020228,PIT,MTL,2015 November 11 19:30:00
2015020229,ANA,EDM,2015 November 11 22:00:00
2015020230,BOS,COL,2015 November 12 19:00:00
2015020231,NYR,STL,2015 November 12 19:00:00
2015020232,PHI,WSH,2015 November 12 19:00:00
2015020233,CAR,MIN,2015 November 12 19:00:00
2015020234,OTT,VAN,2015 November 12 19:30:00
2015020235,TBL,CGY,2015 November 12 19:30:00
2015020236,FLA,BUF,2015 November 12 19:30:00
2015020237,NSH,TOR,2015 November 12 20:00:00
2015020238,CHI,NJD,2015 November 12 20:30:00
2015020239,DAL,WPG,2015 November 12 20:30:00
2015020240,ARI,EDM,2015 November 12 21:00:00
2015020241,LAK,NYI,2015 November 12 22:30:00
2015020242,PIT,CBJ,2015 November 13 19:00:00
2015020243,WSH,CGY,2015 November 13 19:00:00
2015020244,DET,SJS,2015 November 13 19:30:00
2015020245,ANA,NYI,2015 November 13 22:00:00
2015020246,OTT,NYR,2015 November 14 13:00:00
2015020247,BOS,DET,2015 November 14 19:00:00
2015020248,BUF,SJS,2015 November 14 19:00:00
2015020249,TOR,VAN,2015 November 14 19:00:00
2015020250,MTL,COL,2015 November 14 19:00:00
2015020251,TBL,FLA,2015 November 14 19:00:00
2015020252,NJD,PIT,2015 November 14 19:00:00
2015020253,CAR,PHI,2015 November 14 19:00:00
2015020254,CBJ,ARI,2015 November 14 19:00:00
2015020255,NSH,WPG,2015 November 14 19:00:00
2015020256,STL,CHI,2015 November 14 20:00:00
2015020257,DAL,MIN,2015 November 14 20:00:00
2015020258,LAK,EDM,2015 November 14 22:00:00
2015020259,NYR,TOR,2015 November 15 19:00:00
2015020260,CHI,CGY,2015 November 15 20:30:00
2015020261,NYI,ARI,2015 November 16 19:00:00
2015020262,CAR,ANA,2015 November 16 19:00:00
2015020263,MTL,VAN,2015 November 16 19:30:00
2015020264,OTT,DET,2015 November 16 19:30:00
2015020265,FLA,TBL,2015 November 16 19:30:00
2015020266,STL,WPG,2015 November 16 20:00:00
2015020267,BOS,SJS,2015 November 17 19:00:00
2015020268,BUF,DAL,2015 November 17 19:00:00
2015020269,PHI,LAK,2015 November 17 19:00:00
2015020270,PIT,MIN,2015 November 17 19:30:00
2015020271,CBJ,STL,2015 November 17 19:00:00
2015020272,TOR,COL,2015 November 17 19:30:00
2015020273,NSH,ANA,2015 November 17 20:00:00
2015020274,CGY,NJD,2015 November 17 21:00:00
2015020275,WPG,VAN,2015 November 18 19:30:00
2015020276,DET,WSH,2015 November 18 20:00:00
2015020277,EDM,CHI,2015 November 18 21:30:00
2015020278,BOS,MIN,2015 November 19 19:00:00
2015020279,PHI,SJS,2015 November 19 19:00:00
2015020280,PIT,COL,2015 November 19 19:00:00
2015020281,WSH,DAL,2015 November 19 19:00:00
2015020282,MTL,ARI,2015 November 19 19:30:00
2015020283,OTT,CBJ,2015 November 19 19:30:00
2015020284,TBL,NYR,2015 November 19 19:30:00
2015020285,FLA,ANA,2015 November 19 19:30:00
2015020286,STL,BUF,2015 November 19 20:00:00
2015020287,CAR,TOR,2015 November 20 19:00:00
2015020288,CBJ,NSH,2015 November 20 19:00:00
2015020289,DET,LAK,2015 November 20 19:30:00
2015020290,NYI,MTL,2015 November 20 19:30:00
2015020291,CGY,CHI,2015 November 20 21:00:00
2015020292,EDM,NJD,2015 November 20 21:00:00
2015020293,BOS,TOR,2015 November 21 19:00:00
2015020294,OTT,PHI,2015 November 21 19:00:00
2015020295,TBL,ANA,2015 November 21 19:00:00
2015020296,FLA,NYR,2015 November 21 19:00:00
2015020297,PIT,SJS,2015 November 21 19:00:00
2015020298,WSH,COL,2015 November 21 19:00:00
2015020299,WPG,ARI,2015 November 21 19:00:00
2015020300,STL,DET,2015 November 21 20:00:00
2015020301,DAL,BUF,2015 November 21 20:00:00
2015020302,MIN,NSH,2015 November 21 20:00:00
2015020303,VAN,CHI,2015 November 21 22:00:00
2015020304,CAR,LAK,2015 November 22 13:00:00
2015020305,CBJ,SJS,2015 November 22 17:00:00
2015020306,MTL,NYI,2015 November 22 19:00:00
2015020307,VAN,NJD,2015 November 22 22:00:00
2015020308,BUF,STL,2015 November 23 19:00:00
2015020309,NYR,NSH,2015 November 23 19:00:00
2015020310,PHI,CAR,2015 November 23 19:00:00
2015020311,WSH,EDM,2015 November 23 19:00:00
2015020312,TOR,BOS,2015 November 23 19:30:00
2015020313,FLA,LAK,2015 November 23 19:30:00
2015020314,WPG,COL,2015 November 23 20:00:00
2015020315,DAL,OTT,2015 November 24 20:30:00
2015020316,ANA,CGY,2015 November 24 22:00:00
