id,homeAbbrev,awayAbbrev,est
2012020001,PHI,PIT,2013 January 19 15:00:00
2012020002,WPG,OTT,2013 January 19 15:00:00
2012020003,LAK,CHI,2013 January 19 15:00:00
2012020004,BOS,NYR,2013 January 19 19:00:00
2012020005,MTL,TOR,2013 January 19 19:00:00
2012020006,NYI,NJD,2013 January 19 19:00:00
2012020007,TBL,WSH,2013 January 19 19:00:00
2012020008,FLA,CAR,2013 January 19 19:30:00
2012020009,STL,DET,2013 January 19 20:00:00
2012020010,NSH,CBJ,2013 January 19 20:00:00
2012020011,DAL,ARI,2013 January 19 20:00:00
2012020012,MIN,COL,2013 January 19 21:00:00
2012020013,VAN,ANA,2013 January 19 22:00:00
2012020014,BUF,PHI,2013 January 20 12:30:00
2012020015,NYR,PIT,2013 January 20 19:00:00
2012020016,CGY,SJS,2013 January 20 18:00:00
2012020017,MIN,DAL,2013 January 20 20:00:00
2012020018,VAN,EDM,2013 January 20 21:00:00
2012020019,ARI,CHI,2013 January 20 22:00:00
2012020020,BOS,WPG,2013 January 21 13:00:00
2012020021,NYI,TBL,2013 January 21 13:00:00
2012020022,NSH,STL,2013 January 21 18:00:00
2012020023,TOR,BUF,2013 January 21 19:00:00
2012020024,OTT,FLA,2013 January 21 19:30:00
2012020025,CBJ,DET,2013 January 21 19:30:00
2012020026,CGY,ANA,2013 January 21 21:00:00
2012020027,WSH,WPG,2013 January 22 19:00:00
2012020028,CAR,TBL,2013 January 22 19:00:00
2012020029,MTL,FLA,2013 January 22 19:30:00
2012020030,NJD,PHI,2013 January 22 19:30:00
2012020031,DET,DAL,2013 January 22 19:30:00
2012020032,MIN,NSH,2013 January 22 20:00:00
2012020033,CHI,STL,2013 January 22 20:30:00
2012020034,COL,LAK,2013 January 22 21:00:00
2012020035,EDM,SJS,2013 January 22 22:00:00
2012020036,PIT,TOR,2013 January 23 19:00:00
2012020037,NYR,BOS,2013 January 23 19:30:00
2012020038,VAN,CGY,2013 January 23 22:00:00
2012020039,ARI,CBJ,2013 January 23 22:00:00
2012020040,TOR,NYI,2013 January 24 19:00:00
2012020041,PHI,NYR,2013 January 24 19:00:00
2012020042,WSH,MTL,2013 January 24 19:00:00
2012020043,CAR,BUF,2013 January 24 19:00:00
2012020044,FLA,OTT,2013 January 24 19:30:00
2012020045,STL,NSH,2013 January 24 20:00:00
2012020046,DAL,CHI,2013 January 24 20:30:00
2012020047,COL,CBJ,2013 January 24 21:00:00
2012020048,EDM,LAK,2013 January 24 21:30:00
2012020049,SJS,ARI,2013 January 24 22:30:00
2012020050,BOS,NYI,2013 January 25 19:00:00
2012020051,BUF,CAR,2013 January 25 19:00:00
2012020052,NJD,WSH,2013 January 25 19:00:00
2012020053,TBL,OTT,2013 January 25 19:30:00
2012020054,DET,MIN,2013 January 25 19:30:00
2012020055,WPG,PIT,2013 January 25 20:00:00
2012020056,ANA,VAN,2013 January 25 22:00:00
2012020057,SJS,COL,2013 January 26 16:00:00
2012020058,NYR,TOR,2013 January 26 19:00:00
2012020059,CBJ,CHI,2013 January 26 19:00:00
2012020060,FLA,PHI,2013 January 26 19:30:00
2012020061,DAL,STL,2013 January 26 20:00:00
2012020062,ARI,LAK,2013 January 26 20:00:00
2012020063,CGY,EDM,2013 January 26 22:00:00
2012020064,ANA,NSH,2013 January 26 22:30:00
2012020065,WSH,BUF,2013 January 27 15:00:00
2012020066,OTT,PIT,2013 January 27 17:00:00
2012020067,MTL,NJD,2013 January 27 18:00:00
2012020068,TBL,PHI,2013 January 27 18:00:00
2012020069,CHI,DET,2013 January 27 19:00:00
2012020070,WPG,NYI,2013 January 27 20:00:00
2012020071,STL,MIN,2013 January 27 20:00:00
2012020072,SJS,VAN,2013 January 27 20:00:00
2012020073,CAR,BOS,2013 January 28 19:00:00
2012020074,CBJ,DAL,2013 January 28 19:00:00
2012020075,ARI,NSH,2013 January 28 21:00:00
2012020076,EDM,COL,2013 January 28 21:30:00
2012020077,LAK,VAN,2013 January 28 22:30:00
2012020078,BOS,NJD,2013 January 29 19:00:00
2012020079,BUF,TOR,2013 January 29 19:00:00
2012020080,NYR,PHI,2013 January 29 19:00:00
2012020081,MTL,WPG,2013 January 29 19:30:00
2012020082,OTT,WSH,2013 January 29 19:30:00
2012020083,PIT,NYI,2013 January 29 19:30:00
2012020084,TBL,FLA,2013 January 29 19:30:00
2012020085,DET,DAL,2013 January 29 19:30:00
2012020086,MIN,CBJ,2013 January 29 20:00:00
2012020087,SJS,ANA,2013 January 29 22:30:00
2012020088,OTT,MTL,2013 January 30 19:00:00
2012020089,MIN,CHI,2013 January 30 20:00:00
2012020090,ARI,EDM,2013 January 30 21:30:00
2012020091,VAN,COL,2013 January 30 22:00:00
2012020092,BOS,BUF,2013 January 31 19:00:00
2012020093,TOR,WSH,2013 January 31 19:00:00
2012020094,NJD,NYI,2013 January 31 19:00:00
2012020095,NYR,PIT,2013 January 31 19:00:00
2012020096,CBJ,STL,2013 January 31 19:00:00
2012020097,FLA,WPG,2013 January 31 19:30:00
2012020098,CGY,COL,2013 January 31 21:00:00
2012020099,LAK,NSH,2013 January 31 22:30:00
2012020100,SJS,EDM,2013 January 31 22:30:00
2012020101,WSH,PHI,2013 February 01 19:00:00
2012020102,CAR,OTT,2013 February 01 19:00:00
2012020103,TBL,WPG,2013 February 01 19:30:00
2012020104,DET,STL,2013 February 01 19:30:00
2012020105,DAL,ARI,2013 February 01 20:30:00
2012020106,VAN,CHI,2013 February 01 22:00:00
2012020107,ANA,MIN,2013 February 01 22:00:00
2012020108,PIT,NJD,2013 February 02 13:00:00
2012020109,MTL,BUF,2013 February 02 14:00:00
2012020110,COL,EDM,2013 February 02 15:00:00
2012020111,TOR,BOS,2013 February 02 19:00:00
2012020112,PHI,CAR,2013 February 02 19:00:00
2012020113,TBL,NYR,2013 February 02 19:00:00
2012020114,CBJ,DET,2013 February 02 19:00:00
2012020115,ARI,DAL,2013 February 02 20:00:00
2012020116,CGY,CHI,2013 February 02 22:00:00
2012020117,ANA,LAK,2013 February 02 22:00:00
2012020118,SJS,NSH,2013 February 02 22:30:00
2012020119,WSH,PIT,2013 February 03 12:30:00
2012020120,MTL,OTT,2013 February 03 14:00:00
2012020121,BUF,FLA,2013 February 03 15:00:00
2012020122,NYI,NJD,2013 February 03 15:00:00
2012020123,TOR,CAR,2013 February 04 19:00:00
2012020124,COL,DAL,2013 February 04 21:00:00
2012020125,ARI,MIN,2013 February 04 21:00:00
2012020126,EDM,VAN,2013 February 04 21:30:00
2012020127,ANA,SJS,2013 February 04 22:00:00
2012020128,NJD,NYR,2013 February 05 19:00:00
2012020129,NYI,PIT,2013 February 05 19:00:00
2012020130,WSH,TOR,2013 February 05 19:00:00
2012020131,CBJ,LAK,2013 February 05 19:00:00
2012020132,OTT,BUF,2013 February 05 19:30:00
2012020133,PHI,TBL,2013 February 05 19:30:00
2012020134,DET,CGY,2013 February 05 19:30:00
2012020135,WPG,FLA,2013 February 05 20:00:00
2012020136,STL,NSH,2013 February 05 20:00:00
2012020137,SJS,CHI,2013 February 05 22:30:00
2012020138,MTL,BOS,2013 February 06 19:30:00
2012020139,COL,ANA,2013 February 06 21:30:00
2012020140,EDM,DAL,2013 February 06 22:00:00
2012020141,BUF,MTL,2013 February 07 19:00:00
2012020142,NJD,TBL,2013 February 07 19:00:00
2012020143,NYR,NYI,2013 February 07 19:00:00
2012020144,PHI,FLA,2013 February 07 19:00:00
2012020145,PIT,WSH,2013 February 07 19:00:00
2012020146,CBJ,CGY,2013 February 07 19:00:00
2012020147,OTT,CAR,2013 February 07 19:30:00
2012020148,WPG,TOR,2013 February 07 20:00:00
2012020149,STL,DET,2013 February 07 20:00:00
2012020150,NSH,LAK,2013 February 07 20:00:00
2012020151,MIN,VAN,2013 February 07 20:00:00
2012020152,ARI,CHI,2013 February 07 21:00:00
2012020153,DAL,ANA,2013 February 08 20:30:00
2012020154,BOS,TBL,2013 April 25 19:30:00
2012020155,NJD,PIT,2013 February 09 13:00:00
2012020156,PHI,CAR,2013 February 09 13:00:00
2012020157,OTT,WPG,2013 February 09 14:00:00
2012020158,DET,EDM,2013 February 09 14:00:00
2012020159,SJS,ARI,2013 February 09 16:00:00
2012020160,MTL,TOR,2013 February 09 19:00:00
2012020161,NYI,BUF,2013 February 09 19:00:00
2012020162,WSH,FLA,2013 February 09 19:00:00
2012020163,STL,ANA,2013 February 09 20:00:00
2012020164,MIN,NSH,2013 February 09 20:00:00
2012020165,VAN,CGY,2013 February 09 22:00:00
2012020166,DET,LAK,2013 February 10 12:30:00
2012020167,CBJ,EDM,2013 February 10 18:00:00
2012020168,BUF,BOS,2013 February 10 19:00:00
2012020169,NYR,TBL,2013 February 10 19:30:00
2012020170,PIT,NJD,2013 February 10 19:30:00
2012020171,NSH,CHI,2013 February 10 20:00:00
2012020172,TOR,PHI,2013 February 11 19:00:00
2012020173,NYI,CAR,2013 February 11 19:00:00
2012020174,CBJ,SJS,2013 February 11 19:00:00
2012020175,STL,LAK,2013 February 11 20:00:00
2012020176,COL,ARI,2013 February 11 21:00:00
2012020177,CGY,MIN,2013 February 11 21:00:00
2012020178,NJD,CAR,2013 February 12 19:00:00
2012020179,BOS,NYR,2013 February 12 19:30:00
2012020180,OTT,BUF,2013 February 12 19:30:00
2012020181,TBL,MTL,2013 February 12 19:30:00
2012020182,FLA,WSH,2013 February 12 19:30:00
2012020183,WPG,PHI,2013 February 12 20:00:00
2012020184,NSH,SJS,2013 February 12 20:00:00
2012020185,CHI,ANA,2013 February 12 20:30:00
2012020186,EDM,DAL,2013 February 12 21:30:00
2012020187,VAN,MIN,2013 February 12 22:00:00
2012020188,PIT,OTT,2013 February 13 19:00:00
2012020189,DET,STL,2013 February 13 19:30:00
2012020190,CGY,DAL,2013 February 13 21:30:00
2012020191,NYR,NYI,2013 February 14 19:00:00
2012020192,CAR,TOR,2013 February 14 19:00:00
2012020193,TBL,WSH,2013 February 14 19:30:00
2012020194,FLA,MTL,2013 February 14 19:30:00
2012020195,NSH,ARI,2013 February 14 20:00:00
2012020196,MIN,COL,2013 February 14 20:00:00
2012020197,BUF,BOS,2013 February 15 19:00:00
2012020198,NJD,PHI,2013 February 15 19:00:00
2012020199,WPG,PIT,2013 February 15 19:00:00
2012020200,DET,ANA,2013 February 15 19:30:00
2012020201,CHI,SJS,2013 February 15 20:30:00
2012020202,CGY,STL,2013 February 15 21:00:00
2012020203,VAN,DAL,2013 February 15 22:00:00
2012020204,LAK,CBJ,2013 February 15 22:30:00
2012020205,TOR,OTT,2013 February 16 19:00:00
2012020206,MTL,PHI,2013 February 16 19:00:00
2012020207,NYI,NJD,2013 February 16 19:00:00
2012020208,FLA,TBL,2013 February 16 15:00:00
2012020209,NSH,ANA,2013 February 16 20:00:00
2012020210,ARI,CBJ,2013 February 16 20:00:00
2012020211,EDM,COL,2013 February 16 22:00:00
2012020212,BUF,PIT,2013 February 17 12:30:00
2012020213,CHI,LAK,2013 February 17 15:30:00
2012020214,WPG,BOS,2013 February 17 18:00:00
2012020215,DAL,CGY,2013 February 17 18:00:00
2012020216,MIN,DET,2013 February 17 18:00:00
2012020217,NYR,WSH,2013 February 17 18:00:00
2012020218,VAN,STL,2013 February 17 21:00:00
2012020219,NJD,OTT,2013 February 18 13:00:00
2012020220,NYI,PHI,2013 February 18 13:00:00
2012020221,COL,NSH,2013 February 18 15:00:00
2012020222,MTL,CAR,2013 February 18 19:30:00
2012020223,FLA,TOR,2013 February 18 19:30:00
2012020224,ARI,CGY,2013 February 18 21:00:00
2012020225,ANA,CBJ,2013 February 18 22:00:00
2012020226,BUF,WPG,2013 February 19 19:00:00
2012020227,NYR,MTL,2013 February 19 19:00:00
2012020228,OTT,NYI,2013 February 19 19:30:00
2012020229,TBL,TOR,2013 February 19 19:30:00
2012020230,STL,SJS,2013 February 19 20:00:00
2012020231,NSH,DET,2013 February 19 20:00:00
2012020232,CHI,VAN,2013 February 19 20:30:00
2012020233,EDM,LAK,2013 February 19 22:00:00
2012020234,PIT,PHI,2013 February 20 19:30:00
2012020235,COL,STL,2013 February 20 22:00:00
2012020236,CGY,LAK,2013 February 20 22:00:00
2012020237,TOR,BUF,2013 February 21 19:00:00
2012020238,PHI,FLA,2013 February 21 19:00:00
2012020239,WSH,NJD,2013 February 21 19:00:00
2012020240,CAR,WPG,2013 February 21 19:00:00
2012020241,MTL,NYI,2013 February 21 19:30:00
2012020242,OTT,NYR,2013 February 21 19:30:00
2012020243,TBL,BOS,2013 February 21 19:30:00
2012020244,DET,CBJ,2013 February 21 19:30:00
2012020245,DAL,VAN,2013 February 21 20:30:00
2012020246,EDM,MIN,2013 February 21 21:30:00
2012020247,PIT,FLA,2013 February 22 19:00:00
2012020248,NSH,VAN,2013 February 22 20:00:00
2012020249,CHI,SJS,2013 February 22 20:30:00
2012020250,WSH,NJD,2013 February 23 12:00:00
2012020251,PHI,WPG,2013 February 23 13:00:00
2012020252,EDM,ARI,2013 February 23 15:30:00
2012020253,LAK,COL,2013 February 23 16:00:00
2012020254,BUF,NYI,2013 February 23 19:00:00
2012020255,MTL,NYR,2013 February 23 19:00:00
2012020256,OTT,TOR,2013 February 23 19:00:00
2012020257,CAR,TBL,2013 February 23 19:00:00
2012020258,DET,NSH,2013 February 23 19:00:00
2012020259,STL,CBJ,2013 February 23 20:00:00
2012020260,DAL,SJS,2013 February 23 20:00:00
2012020261,CGY,MIN,2013 February 23 22:00:00
