id,homeAbbrev,awayAbbrev,est
2011020001,BOS,PHI,2011 October 06 19:00:00
2011020002,TOR,MTL,2011 October 06 19:00:00
2011020003,VAN,PIT,2011 October 06 22:00:00
2011020004,CAR,TBL,2011 October 07 19:00:00
2011020005,DET,OTT,2011 October 07 19:00:00
2011020006,CBJ,NSH,2011 October 07 19:00:00
2011020007,BUF,ANA,2011 October 07 13:00:00
2011020008,DAL,CHI,2011 October 07 20:30:00
2011020009,LAK,NYR,2011 October 07 13:00:00
2011020010,BOS,TBL,2011 October 08 19:00:00
2011020011,TOR,OTT,2011 October 08 19:00:00
2011020012,NJD,PHI,2011 October 08 19:00:00
2011020013,WSH,CAR,2011 October 08 19:00:00
2011020014,NYI,FLA,2011 October 08 20:00:00
2011020015,STL,NSH,2011 October 08 20:00:00
2011020016,MIN,CBJ,2011 October 08 20:00:00
2011020017,CHI,DAL,2011 October 08 20:30:00
2011020018,COL,DET,2011 October 08 21:00:00
2011020019,CGY,PIT,2011 October 08 22:00:00
2011020020,ANA,NYR,2011 October 08 13:00:00
2011020021,SJS,ARI,2011 October 08 22:30:00
2011020022,LAK,BUF,2011 October 08 14:00:00
2011020023,WPG,MTL,2011 October 09 17:00:00
2011020024,EDM,PIT,2011 October 09 21:00:00
2011020025,BOS,COL,2011 October 10 13:00:00
2011020026,NJD,CAR,2011 October 10 13:00:00
2011020027,NYI,MIN,2011 October 10 13:00:00
2011020028,STL,CGY,2011 October 10 14:00:00
2011020029,WSH,TBL,2011 October 10 19:00:00
2011020030,CBJ,VAN,2011 October 10 19:00:00
2011020031,DAL,ARI,2011 October 10 18:00:00
2011020032,PIT,FLA,2011 October 11 19:30:00
2011020033,OTT,MIN,2011 October 11 19:30:00
2011020034,CBJ,COL,2011 October 12 19:00:00
2011020035,PHI,VAN,2011 October 12 19:30:00
2011020036,CAR,BOS,2011 October 12 19:30:00
2011020037,NJD,LAK,2011 October 13 19:00:00
2011020038,NYI,TBL,2011 October 13 19:00:00
2011020039,PIT,WSH,2011 October 13 19:00:00
2011020040,MTL,CGY,2011 October 13 19:30:00
2011020041,OTT,COL,2011 October 13 19:30:00
2011020042,DET,VAN,2011 October 13 20:00:00
2011020043,NSH,ARI,2011 October 13 20:00:00
2011020044,MIN,EDM,2011 October 13 20:00:00
2011020045,CHI,WPG,2011 October 13 20:30:00
2011020046,DAL,STL,2011 October 13 20:30:00
2011020047,BUF,CAR,2011 October 14 19:30:00
2011020048,ANA,SJS,2011 October 14 22:00:00
2011020049,TOR,CGY,2011 October 15 19:00:00
2011020050,MTL,COL,2011 October 15 19:00:00
2011020051,NYI,NYR,2011 October 15 19:00:00
2011020052,PHI,LAK,2011 October 15 19:00:00
2011020053,PIT,BUF,2011 October 15 19:00:00
2011020054,WSH,OTT,2011 October 15 19:00:00
2011020055,ARI,WPG,2011 October 15 19:00:00
2011020056,FLA,TBL,2011 October 15 19:30:00
2011020057,NSH,NJD,2011 October 15 20:00:00
2011020058,MIN,DET,2011 October 15 20:00:00
2011020059,DAL,CBJ,2011 October 15 20:00:00
2011020060,CHI,BOS,2011 October 15 20:30:00
2011020061,EDM,VAN,2011 October 15 22:00:00
2011020062,SJS,STL,2011 October 15 22:00:00
2011020063,ANA,STL,2011 October 16 20:00:00
2011020064,TOR,COL,2011 October 17 19:00:00
