id,homeAbbrev,awayAbbrev,est
2020020001,PHI,PIT,2021 January 13 17:30:00
2020020002,TBL,CHI,2021 January 13 20:00:00
2020020003,TOR,MTL,2021 January 13 19:00:00
2020020004,EDM,VAN,2021 January 13 22:00:00
2020020005,COL,STL,2021 January 13 22:30:00
2020020006,BUF,WSH,2021 January 14 19:00:00
2020020007,NJD,BOS,2021 January 14 19:00:00
2020020008,NYR,NYI,2021 January 14 19:00:00
2020020009,FLA,DAL,2021 February 22 19:00:00
2020020010,DET,CAR,2021 January 14 19:30:00
2020020011,NSH,CBJ,2021 January 14 20:00:00
2020020012,WPG,CGY,2021 January 14 20:00:00
2020020013,EDM,VAN,2021 January 14 21:00:00
2020020014,ARI,SJS,2021 January 14 21:00:00
2020020015,VGK,ANA,2021 January 14 22:00:00
2020020016,LAK,MIN,2021 January 14 22:00:00
2020020017,BUF,WSH,2021 January 15 19:00:00
2020020018,PHI,PIT,2021 January 15 19:00:00
2020020019,TBL,CHI,2021 January 15 19:00:00
2020020020,FLA,DAL,2021 May 03 19:00:00
2020020021,OTT,TOR,2021 January 15 19:00:00
2020020022,COL,STL,2021 January 15 21:00:00
2020020023,NJD,BOS,2021 January 16 13:00:00
2020020024,NYR,NYI,2021 January 16 19:00:00
2020020025,DET,CAR,2021 January 16 19:00:00
2020020026,NSH,CBJ,2021 January 16 20:00:00
2020020027,OTT,TOR,2021 January 16 19:00:00
2020020028,CGY,VAN,2021 January 16 22:00:00
2020020029,EDM,MTL,2021 January 16 19:00:00
2020020030,ARI,SJS,2021 January 16 16:00:00
2020020031,VGK,ANA,2021 January 16 22:00:00
2020020032,LAK,MIN,2021 January 16 21:00:00
2020020033,TBL,DAL,2021 May 05 19:00:00
2020020034,FLA,CHI,2021 January 17 19:00:00
2020020035,PIT,WSH,2021 January 17 12:00:00
2020020036,NYI,BOS,2021 January 18 17:00:00
2020020037,PHI,BUF,2021 January 18 19:30:00
2020020038,DET,CBJ,2021 January 18 12:00:00
2020020039,STL,SJS,2021 January 18 20:00:00
2020020040,NSH,CAR,2021 January 18 20:00:00
2020020041,TOR,WPG,2021 January 18 19:00:00
2020020042,CGY,VAN,2021 January 18 21:00:00
2020020043,EDM,MTL,2021 January 18 21:00:00
2020020044,VGK,ARI,2021 January 18 22:00:00
2020020045,ANA,MIN,2021 January 18 21:00:00
2020020046,NYR,NJD,2021 January 19 19:00:00
2020020047,PHI,BUF,2021 January 19 19:00:00
2020020048,TBL,DAL,2021 May 07 19:00:00
2020020049,FLA,CHI,2021 January 19 19:00:00
2020020050,PIT,WSH,2021 January 19 19:00:00
2020020051,DET,CBJ,2021 January 19 19:30:00
2020020052,NSH,CAR,2021 March 02 20:00:00
2020020053,OTT,WPG,2021 January 19 19:00:00
2020020054,LAK,COL,2021 January 19 22:00:00
2020020055,STL,SJS,2021 January 20 21:00:00
2020020056,TOR,EDM,2021 January 20 19:00:00
2020020057,VAN,MTL,2021 January 20 22:00:00
