id,homeAbbrev,awayAbbrev,est
2008020001,TBL,NYR,2008 October 04
2008020002,OTT,PIT,2008 October 04
2008020003,NYR,TBL,2008 October 05
2008020004,PIT,OTT,2008 October 05
2008020005,DET,TOR,2008 October 09
2008020006,COL,BOS,2008 October 09
2008020007,VAN,CGY,2008 October 09
2008020008,SJS,ANA,2008 October 09
2008020009,NJD,NYI,2008 October 10
2008020010,NYR,CHI,2008 October 10
2008020011,CAR,FLA,2008 October 10
2008020012,BUF,MTL,2008 October 10
2008020013,ATL,WSH,2008 October 10
2008020014,STL,NSH,2008 October 10
2008020015,DAL,CBJ,2008 October 10
2008020016,TOR,MTL,2008 October 11
2008020017,OTT,DET,2008 October 11
2008020018,NYI,STL,2008 October 11
2008020019,PHI,NYR,2008 October 11
2008020020,WSH,CHI,2008 October 11
2008020021,FLA,ATL,2008 October 11
2008020022,PIT,NJD,2008 October 11
2008020023,TBL,CAR,2008 October 11
2008020024,NSH,DAL,2008 October 11
2008020025,MIN,BOS,2008 October 11
2008020026,CGY,VAN,2008 October 11
2008020027,ARI,CBJ,2008 October 11
2008020028,SJS,LAK,2008 October 11
2008020029,EDM,COL,2008 October 12
2008020030,ANA,ARI,2008 October 12
2008020031,LAK,SJS,2008 October 12
2008020032,TOR,STL,2008 October 13
2008020033,NYI,BUF,2008 October 13
2008020034,NYR,NJD,2008 October 13
2008020035,PHI,MTL,2008 October 13
2008020036,WSH,VAN,2008 October 13
2008020037,CAR,DET,2008 October 13
2008020038,CHI,NSH,2008 October 13
2008020039,PIT,PHI,2008 October 14
2008020040,ATL,MIN,2008 October 14
2008020041,CGY,COL,2008 October 14
2008020042,LAK,ANA,2008 October 14
2008020043,SJS,CBJ,2008 October 14
2008020044,NYR,BUF,2008 October 15
2008020045,MTL,BOS,2008 October 15
2008020046,CHI,ARI,2008 October 15
2008020047,DAL,NSH,2008 October 15
2008020048,ANA,EDM,2008 October 15
2008020049,ATL,NJD,2008 October 16
2008020050,PIT,WSH,2008 October 16
2008020051,TBL,NYI,2008 October 16
2008020052,FLA,MIN,2008 October 16
2008020053,DET,VAN,2008 October 16
2008020054,STL,DAL,2008 October 16
2008020055,COL,PHI,2008 October 16
2008020056,OTT,ARI,2008 October 17
2008020057,NYR,TOR,2008 October 17
2008020058,CBJ,NSH,2008 October 17
2008020059,BUF,VAN,2008 October 17
2008020060,CGY,EDM,2008 October 17
2008020061,ANA,SJS,2008 October 17
2008020062,LAK,CAR,2008 October 17
2008020063,DAL,COL,2008 October 18
2008020064,MTL,ARI,2008 October 18
2008020065,OTT,BOS,2008 October 18
2008020066,PIT,TOR,2008 October 18
2008020067,WSH,NJD,2008 October 18
2008020068,ATL,BUF,2008 October 18
2008020069,FLA,NYI,2008 October 18
2008020070,DET,NYR,2008 October 18
2008020071,TBL,MIN,2008 October 18
2008020072,NSH,CBJ,2008 October 18
2008020073,STL,CHI,2008 October 18
2008020074,EDM,CGY,2008 October 18
2008020075,SJS,PHI,2008 October 18
2008020076,CHI,VAN,2008 October 19
2008020077,ANA,CAR,2008 October 19
2008020078,BOS,PIT,2008 October 20
2008020079,NYR,DAL,2008 October 20
2008020080,MTL,FLA,2008 October 20
2008020081,LAK,COL,2008 October 20
2008020082,BUF,BOS,2008 October 21
2008020083,TOR,ANA,2008 October 21
2008020084,CBJ,VAN,2008 October 21
2008020085,TBL,ATL,2008 October 21
2008020086,CGY,WSH,2008 October 21
2008020087,OTT,FLA,2008 October 22
2008020088,NJD,DAL,2008 October 22
2008020089,PHI,SJS,2008 October 22
2008020090,STL,DET,2008 October 22
2008020091,CHI,EDM,2008 October 22
2008020092,BOS,TOR,2008 October 23
2008020093,NYI,DAL,2008 October 23
2008020094,PIT,CAR,2008 October 23
2008020095,NSH,CGY,2008 October 23
2008020096,MIN,BUF,2008 October 23
2008020097,COL,EDM,2008 October 23
2008020098,ARI,WSH,2008 October 23
2008020099,OTT,ANA,2008 October 24
2008020100,NJD,PHI,2008 October 24
2008020101,CBJ,NYR,2008 October 24
2008020102,FLA,SJS,2008 October 24
2008020103,DET,ATL,2008 October 24
2008020104,STL,LAK,2008 October 24
2008020105,BOS,ATL,2008 October 25
2008020106,TOR,OTT,2008 October 25
2008020107,MTL,ANA,2008 October 25
2008020108,NYI,CAR,2008 October 25
2008020109,NYR,PIT,2008 October 25
2008020110,PHI,NJD,2008 October 25
2008020111,TBL,SJS,2008 October 25
2008020112,NSH,LAK,2008 October 25
2008020113,MIN,CBJ,2008 October 25
2008020114,DAL,WSH,2008 October 25
2008020115,CHI,DET,2008 October 25
2008020116,STL,FLA,2008 October 25
2008020117,COL,BUF,2008 October 25
2008020118,VAN,EDM,2008 October 25
2008020119,ARI,CGY,2008 October 25
2008020120,BUF,OTT,2008 October 27
2008020121,NYI,NYR,2008 October 27
2008020122,CBJ,ANA,2008 October 27
2008020123,MIN,CHI,2008 October 27
2008020124,EDM,BOS,2008 October 27
2008020125,LAK,DET,2008 October 27
2008020126,WSH,NSH,2008 October 28
2008020127,ATL,PHI,2008 October 28
2008020128,TOR,TBL,2008 October 28
2008020129,MTL,CAR,2008 October 28
2008020130,CGY,COL,2008 October 28
2008020131,VAN,BOS,2008 October 28
2008020132,SJS,PIT,2008 October 28
2008020133,NJD,TOR,2008 October 29
2008020134,DAL,MIN,2008 October 29
2008020135,ANA,DET,2008 October 29
2008020136,BUF,TBL,2008 October 30
2008020137,NYR,ATL,2008 October 30
2008020138,PHI,NYI,2008 October 30
2008020139,FLA,OTT,2008 October 30
2008020140,NSH,EDM,2008 October 30
2008020141,MIN,MTL,2008 October 30
2008020142,STL,CAR,2008 October 30
2008020143,COL,CBJ,2008 October 30
2008020144,CGY,BOS,2008 October 30
2008020145,ARI,PIT,2008 October 30
2008020146,LAK,VAN,2008 October 30
2008020147,SJS,DET,2008 October 30
2008020148,CHI,DAL,2008 October 31
2008020149,ANA,VAN,2008 October 31
2008020150,CAR,EDM,2008 November 01
2008020151,BOS,DAL,2008 November 01
2008020152,BUF,WSH,2008 November 01
2008020153,TOR,NYR,2008 November 01
