id,homeAbbrev,awayAbbrev,est
2022020001,NSH,SJS,2022 October 07 14:00:00
2022020002,SJS,NSH,2022 October 08 14:00:00
2022020003,NYR,TBL,2022 October 11 19:30:00
2022020004,LAK,VGK,2022 October 11 22:00:00
2022020005,WSH,BOS,2022 October 12 19:00:00
2022020006,CAR,CBJ,2022 October 12 19:00:00
2022020007,MTL,TOR,2022 October 12 19:00:00
2022020008,COL,CHI,2022 October 12 21:30:00
2022020009,ANA,SEA,2022 October 12 22:00:00
2022020010,EDM,VAN,2022 October 12 22:00:00
2022020011,PIT,ARI,2022 October 13 19:00:00
2022020012,PHI,NJD,2022 October 13 19:00:00
2022020013,BUF,OTT,2022 October 13 19:00:00
2022020014,NYI,FLA,2022 October 13 19:30:00
2022020015,TOR,WSH,2022 October 13 19:30:00
2022020016,NSH,DAL,2022 October 13 20:30:00
2022020017,MIN,NYR,2022 October 13 20:00:00
2022020018,CGY,COL,2022 October 13 21:30:00
2022020019,VGK,CHI,2022 October 13 22:00:00
2022020020,LAK,SEA,2022 October 13 22:30:00
2022020021,CBJ,TBL,2022 October 14 19:00:00
2022020022,DET,MTL,2022 October 14 19:00:00
2022020023,WPG,NYR,2022 October 14 20:00:00
2022020024,SJS,CAR,2022 October 14 22:30:00
2022020025,BUF,FLA,2022 October 15 13:00:00
2022020026,PHI,VAN,2022 October 15 16:00:00
2022020027,BOS,ARI,2022 October 15 19:00:00
2022020028,NJD,DET,2022 October 15 19:00:00
2022020029,WSH,MTL,2022 October 15 19:00:00
2022020030,TOR,OTT,2022 October 15 19:00:00
2022020031,PIT,TBL,2022 October 15 19:00:00
2022020032,NYI,ANA,2022 October 15 19:30:00
2022020033,STL,CBJ,2022 October 15 20:00:00
2022020034,MIN,LAK,2022 October 15 20:00:00
2022020035,DAL,NSH,2022 October 15 20:00:00
2022020036,EDM,CGY,2022 October 15 22:00:00
2022020037,SEA,VGK,2022 October 15 22:00:00
2022020038,SJS,CHI,2022 October 15 22:00:00
2022020039,NYR,ANA,2022 October 17 19:00:00
2022020040,TOR,ARI,2022 October 17 19:00:00
2022020041,BOS,FLA,2022 October 17 19:00:00
2022020042,MTL,PIT,2022 October 17 19:00:00
2022020043,WSH,VAN,2022 October 17 19:00:00
2022020044,DET,LAK,2022 October 17 19:00:00
2022020045,MIN,COL,2022 October 17 20:00:00
2022020046,DAL,WPG,2022 October 17 20:30:00
2022020047,SEA,CAR,2022 October 17 22:00:00
2022020048,NJD,ANA,2022 October 18 19:00:00
2022020049,OTT,BOS,2022 October 18 19:00:00
2022020050,CBJ,VAN,2022 October 18 19:00:00
2022020051,NYI,SJS,2022 October 18 19:30:00
2022020052,NSH,LAK,2022 October 18 21:30:00
2022020053,TBL,PHI,2022 October 18 19:00:00
2022020054,EDM,BUF,2022 October 18 21:00:00
2022020055,CGY,VGK,2022 October 18 21:00:00
2022020056,FLA,PHI,2022 October 19 19:30:00
2022020057,COL,WPG,2022 October 19 20:00:00
2022020058,SEA,STL,2022 October 19 22:00:00
2022020059,BOS,ANA,2022 October 20 19:00:00
2022020060,MTL,ARI,2022 October 20 19:00:00
2022020061,TOR,DAL,2022 October 20 19:00:00
2022020062,PIT,LAK,2022 October 20 19:00:00
2022020063,CBJ,NSH,2022 October 20 19:00:00
2022020064,NYR,SJS,2022 October 20 19:00:00
2022020065,OTT,WSH,2022 October 20 19:00:00
2022020066,NYI,NJD,2022 October 20 19:30:00
2022020067,MIN,VAN,2022 October 20 20:00:00
2022020068,CGY,BUF,2022 October 20 21:30:00
2022020069,EDM,CAR,2022 October 20 21:00:00
2022020070,VGK,WPG,2022 October 20 22:00:00
2022020071,FLA,TBL,2022 October 21 19:30:00
2022020072,CHI,DET,2022 October 21 20:30:00
2022020073,COL,SEA,2022 October 21 21:00:00
2022020074,BOS,MIN,2022 October 22 13:00:00
2022020075,NJD,SJS,2022 October 22 13:00:00
2022020076,OTT,ARI,2022 October 22 16:00:00
2022020077,EDM,STL,2022 October 22 16:00:00
2022020078,MTL,DAL,2022 October 22 19:00:00
2022020079,WSH,LAK,2022 October 22 19:00:00
2022020080,TBL,NYI,2022 October 22 19:00:00
2022020081,CBJ,PIT,2022 October 22 19:00:00
2022020082,WPG,TOR,2022 October 22 19:00:00
2022020083,NSH,PHI,2022 October 22 20:00:00
2022020084,VAN,BUF,2022 October 22 22:00:00
2022020085,CGY,CAR,2022 October 22 22:00:00
2022020086,VGK,COL,2022 October 22 22:00:00
2022020087,CHI,SEA,2022 October 23 14:00:00
2022020088,DET,ANA,2022 October 23 17:00:00
2022020089,NYR,CBJ,2022 October 23 17:00:00
2022020090,FLA,NYI,2022 October 23 17:00:00
2022020091,PHI,SJS,2022 October 23 19:00:00
2022020092,OTT,DAL,2022 October 24 19:00:00
2022020093,NJD,WSH,2022 October 24 19:00:00
2022020094,EDM,PIT,2022 October 24 20:00:00
2022020095,WPG,STL,2022 October 24 20:00:00
2022020096,VGK,TOR,2022 October 24 22:00:00
2022020097,VAN,CAR,2022 October 24 22:30:00
2022020098,CBJ,ARI,2022 October 25 19:00:00
2022020099,NYR,COL,2022 October 25 20:00:00
2022020100,BOS,DAL,2022 October 25 19:00:00
2022020101,MTL,MIN,2022 October 25 19:00:00
2022020102,DET,NJD,2022 October 25 19:00:00
2022020103,CHI,FLA,2022 October 25 20:30:00
2022020104,CGY,PIT,2022 October 25 21:00:00
2022020105,SEA,BUF,2022 October 25 22:00:00
2022020106,LAK,TBL,2022 October 25 22:30:00
2022020107,SJS,VGK,2022 October 25 22:30:00
2022020108,NYI,NYR,2022 October 26 19:30:00
2022020109,STL,EDM,2022 October 26 20:00:00
2022020110,ANA,TBL,2022 October 26 22:00:00
2022020111,BOS,DET,2022 October 27 19:00:00
2022020112,PHI,FLA,2022 October 27 19:00:00
2022020113,OTT,MIN,2022 October 27 19:00:00
2022020114,BUF,MTL,2022 October 27 19:00:00
2022020115,NSH,STL,2022 October 27 20:00:00
2022020116,CHI,EDM,2022 October 27 20:30:00
2022020117,DAL,WSH,2022 October 27 20:30:00
2022020118,SEA,VAN,2022 October 27 22:00:00
2022020119,SJS,TOR,2022 October 27 22:30:00
2022020120,LAK,WPG,2022 October 27 22:30:00
2022020121,VGK,ANA,2022 October 28 18:00:00
2022020122,CBJ,BOS,2022 October 28 19:00:00
2022020123,NJD,COL,2022 October 28 19:00:00
2022020124,CAR,NYI,2022 October 28 19:00:00
2022020125,VAN,PIT,2022 October 28 22:00:00
2022020126,ARI,WPG,2022 October 28 22:30:00
2022020127,DAL,NYR,2022 October 29 14:00:00
2022020128,FLA,OTT,2022 October 29 16:00:00
2022020129,SJS,TBL,2022 October 29 16:30:00
2022020130,PHI,CAR,2022 October 29 19:00:00
2022020131,BUF,CHI,2022 October 29 19:00:00
2022020132,DET,MIN,2022 October 29 19:00:00
2022020133,STL,MTL,2022 October 29 19:00:00
2022020134,LAK,TOR,2022 October 29 19:00:00
2022020135,NYI,COL,2022 October 29 19:30:00
2022020136,NSH,WSH,2022 October 29 20:00:00
2022020137,CGY,EDM,2022 October 29 22:00:00
2022020138,SEA,PIT,2022 October 29 22:00:00
2022020139,NJD,CBJ,2022 October 30 14:00:00
2022020140,CHI,MIN,2022 October 30 19:00:00
2022020141,ARI,NYR,2022 October 30 20:00:00
2022020142,ANA,TOR,2022 October 30 20:00:00
2022020143,VGK,WPG,2022 October 30 20:00:00
2022020144,BUF,DET,2022 October 31 19:00:00
2022020145,CAR,WSH,2022 October 31 19:00:00
2022020146,STL,LAK,2022 October 31 20:00:00
2022020147,PIT,BOS,2022 November 01 20:00:00
2022020148,TBL,OTT,2022 November 01 19:00:00
2022020149,NYR,PHI,2022 November 01 19:00:00
2022020150,WSH,VGK,2022 November 01 19:00:00
2022020151,MIN,MTL,2022 November 01 20:00:00
2022020152,CHI,NYI,2022 November 01 20:30:00
2022020153,DAL,LAK,2022 November 01 20:30:00
2022020154,EDM,NSH,2022 November 01 21:00:00
2022020155,CGY,SEA,2022 November 01 21:00:00
2022020156,ARI,FLA,2022 November 01 22:00:00
2022020157,VAN,NJD,2022 November 01 22:00:00
2022020158,SJS,ANA,2022 November 01 22:30:00
2022020159,TOR,PHI,2022 November 02 19:00:00
2022020160,BUF,PIT,2022 November 02 19:30:00
2022020161,NYR,BOS,2022 November 03 19:30:00
2022020162,TBL,CAR,2022 November 03 19:00:00
2022020163,OTT,VGK,2022 November 03 19:00:00
2022020164,DET,WSH,2022 November 03 19:00:00
2022020165,WPG,MTL,2022 November 03 20:00:00
2022020166,STL,NYI,2022 November 03 20:00:00
2022020167,MIN,SEA,2022 November 03 20:00:00
2022020168,CHI,LAK,2022 November 03 20:30:00
2022020169,CGY,NSH,2022 November 03 21:00:00
2022020170,EDM,NJD,2022 November 03 21:00:00
2022020171,VAN,ANA,2022 November 03 22:00:00
2022020172,ARI,DAL,2022 November 03 22:00:00
2022020173,SJS,FLA,2022 November 03 22:30:00
2022020174,CAR,BUF,2022 November 04 19:00:00
2022020175,COL,CBJ,2022 November 04 14:00:00
2022020176,WPG,CHI,2022 November 05 15:00:00
2022020177,EDM,DAL,2022 November 05 16:00:00
2022020178,WSH,ARI,2022 November 05 19:00:00
2022020179,TOR,BOS,2022 November 05 19:00:00
2022020180,TBL,BUF,2022 November 05 19:00:00
2022020181,DET,NYI,2022 November 05 13:00:00
2022020182,OTT,PHI,2022 November 05 19:00:00
2022020183,PIT,SEA,2022 November 05 19:00:00
2022020184,MTL,VGK,2022 November 05 19:00:00
2022020185,CBJ,COL,2022 November 05 14:00:00
2022020186,VAN,NSH,2022 November 05 22:00:00
2022020187,CGY,NJD,2022 November 05 22:00:00
2022020188,SJS,ANA,2022 November 05 22:30:00
2022020189,LAK,FLA,2022 November 05 22:30:00
2022020190,NYR,DET,2022 November 06 17:00:00
2022020191,CAR,TOR,2022 November 06 17:00:00
2022020192,ANA,FLA,2022 November 06 21:00:00
2022020193,NYI,CGY,2022 November 07 19:00:00
2022020194,BOS,STL,2022 November 07 19:00:00
2022020195,WSH,EDM,2022 November 07 20:00:00
2022020196,BUF,ARI,2022 November 08 19:00:00
2022020197,NJD,CGY,2022 November 08 19:00:00
2022020198,NYR,NYI,2022 November 08 19:00:00
2022020199,PHI,STL,2022 November 08 19:00:00
2022020200,OTT,VAN,2022 November 08 19:00:00
2022020201,TOR,VGK,2022 November 08 19:00:00
2022020202,TBL,EDM,2022 November 08 19:30:00
2022020203,DET,MTL,2022 November 08 19:00:00
2022020204,WPG,DAL,2022 November 08 20:00:00
2022020205,SEA,NSH,2022 November 08 22:00:00
2022020206,LAK,MIN,2022 November 08 22:30:00
2022020207,FLA,CAR,2022 November 09 19:00:00
2022020208,WSH,PIT,2022 November 09 19:30:00
2022020209,MTL,VAN,2022 November 09 19:30:00
2022020210,ANA,MIN,2022 November 09 22:00:00
2022020211,BOS,CGY,2022 November 10 19:00:00
2022020212,CAR,EDM,2022 November 10 19:00:00
2022020213,NJD,OTT,2022 November 10 19:00:00
2022020214,CBJ,PHI,2022 November 10 19:00:00
2022020215,BUF,VGK,2022 November 10 19:00:00
2022020216,NYI,ARI,2022 November 10 19:30:00
2022020217,DET,NYR,2022 November 10 19:00:00
2022020218,STL,SJS,2022 November 10 20:00:00
2022020219,COL,NSH,2022 November 10 21:00:00
2022020220,LAK,CHI,2022 November 10 22:30:00
2022020221,TOR,PIT,2022 November 11 19:00:00
2022020222,WSH,TBL,2022 November 11 19:00:00
2022020223,DAL,SJS,2022 November 11 20:30:00
2022020224,SEA,MIN,2022 November 11 22:00:00
2022020225,PHI,OTT,2022 November 12 13:00:00
2022020226,FLA,EDM,2022 November 12 16:00:00
2022020227,NJD,ARI,2022 November 12 19:00:00
2022020228,BUF,BOS,2022 November 12 19:00:00
2022020229,MTL,PIT,2022 November 12 19:00:00
2022020230,TOR,VAN,2022 November 12 19:00:00
2022020231,NYI,CBJ,2022 November 12 19:30:00
2022020232,NSH,NYR,2022 November 12 20:00:00
2022020233,COL,CAR,2022 November 12 21:00:00
2022020234,ANA,CHI,2022 November 12 22:00:00
2022020235,VGK,STL,2022 November 12 22:00:00
2022020236,CGY,WPG,2022 November 12 22:00:00
2022020237,LAK,DET,2022 November 12 22:30:00
2022020238,PHI,DAL,2022 November 13 13:00:00
2022020239,NYR,ARI,2022 November 13 19:00:00
2022020240,MIN,SJS,2022 November 13 18:00:00
2022020241,BOS,VAN,2022 November 13 18:00:00
2022020242,TBL,WSH,2022 November 13 19:00:00
2022020243,SEA,WPG,2022 November 13 20:00:00
2022020244,OTT,NYI,2022 November 14 17:30:00
2022020245,CHI,CAR,2022 November 14 20:30:00
2022020246,CGY,LAK,2022 November 14 20:30:00
2022020247,COL,STL,2022 November 14 21:00:00
2022020248,TBL,DAL,2022 November 15 19:00:00
2022020249,MTL,NJD,2022 November 15 19:00:00
2022020250,CBJ,PHI,2022 November 15 19:30:00
2022020251,PIT,TOR,2022 November 15 19:00:00
2022020252,BUF,VAN,2022 November 15 19:00:00
2022020253,FLA,WSH,2022 November 15 19:00:00
2022020254,NSH,MIN,2022 November 15 20:00:00
2022020255,ANA,DET,2022 November 15 22:00:00
2022020256,VGK,SJS,2022 November 15 22:00:00
2022020257,OTT,BUF,2022 November 16 19:00:00
2022020258,CHI,STL,2022 November 16 19:30:00
2022020259,EDM,LAK,2022 November 16 22:00:00
2022020260,TBL,CGY,2022 November 17 19:00:00
2022020261,CAR,COL,2022 November 17 19:00:00
2022020262,FLA,DAL,2022 November 17 19:00:00
2022020263,CBJ,MTL,2022 November 17 19:00:00
2022020264,TOR,NJD,2022 November 17 19:00:00
2022020265,BOS,PHI,2022 November 17 19:00:00
2022020266,WPG,ANA,2022 November 17 20:00:00
2022020267,NSH,NYI,2022 November 17 20:00:00
2022020268,MIN,PIT,2022 November 17 20:00:00
2022020269,STL,WSH,2022 November 17 20:00:00
2022020270,VGK,ARI,2022 November 17 22:00:00
2022020271,SEA,NYR,2022 November 17 22:00:00
2022020272,SJS,DET,2022 November 17 22:30:00
2022020273,VAN,LAK,2022 November 18 22:00:00
2022020274,OTT,NJD,2022 November 19 13:00:00
2022020275,FLA,CGY,2022 November 19 16:00:00
2022020276,TOR,BUF,2022 November 19 19:00:00
2022020277,BOS,CHI,2022 November 19 19:00:00
2022020278,WSH,COL,2022 November 19 19:00:00
2022020279,CBJ,DET,2022 November 19 19:00:00
2022020280,MTL,PHI,2022 November 19 19:00:00
2022020281,WPG,PIT,2022 November 19 19:00:00
2022020282,STL,ANA,2022 November 19 20:00:00
2022020283,MIN,CAR,2022 November 19 20:00:00
2022020284,DAL,NYI,2022 November 19 20:00:00
2022020285,NSH,TBL,2022 November 19 20:00:00
2022020286,SEA,LAK,2022 November 19 22:00:00
2022020287,EDM,VGK,2022 November 19 22:00:00
2022020288,SJS,NYR,2022 November 19 22:30:00
2022020289,CBJ,FLA,2022 November 20 18:00:00
2022020290,CHI,PIT,2022 November 20 19:00:00
2022020291,TBL,BOS,2022 November 21 19:00:00
2022020292,PHI,CGY,2022 November 21 19:00:00
2022020293,NJD,EDM,2022 November 21 19:00:00
2022020294,WPG,CAR,2022 November 21 19:30:00
2022020295,TOR,NYI,2022 November 21 19:30:00
2022020296,STL,ANA,2022 November 21 20:00:00
2022020297,NSH,ARI,2022 November 21 20:00:00
2022020298,DAL,COL,2022 November 21 20:30:00
2022020299,SJS,OTT,2022 November 21 22:30:00
2022020300,VAN,VGK,2022 November 21 22:30:00
2022020301,MTL,BUF,2022 November 22 19:00:00
2022020302,LAK,NYR,2022 November 22 22:30:00
2022020303,CAR,ARI,2022 November 23 19:00:00
2022020304,FLA,BOS,2022 November 23 19:00:00
2022020305,PIT,CGY,2022 November 23 19:00:00
2022020306,CBJ,MTL,2022 November 23 19:00:00
2022020307,BUF,STL,2022 November 23 19:00:00
2022020308,NJD,TOR,2022 November 23 19:00:00
2022020309,MIN,WPG,2022 November 23 19:00:00
2022020310,NYI,EDM,2022 November 23 19:30:00
2022020311,DET,NSH,2022 November 23 19:00:00
2022020312,WSH,PHI,2022 November 23 19:30:00
2022020313,DAL,CHI,2022 November 23 20:30:00
2022020314,ANA,NYR,2022 November 23 22:00:00
2022020315,VGK,OTT,2022 November 23 22:00:00
2022020316,SEA,SJS,2022 November 23 22:00:00
2022020317,COL,VAN,2022 November 23 22:00:00
2022020318,BOS,CAR,2022 November 25 13:00:00
2022020319,WSH,CGY,2022 November 25 14:00:00
2022020320,NSH,COL,2023 April 14 20:00:00
2022020321,CHI,MTL,2022 November 25 14:00:00
2022020322,MIN,TOR,2022 November 25 14:00:00
2022020323,ANA,OTT,2022 November 25 15:00:00
2022020324,PHI,PIT,2022 November 25 17:30:00
2022020325,DET,ARI,2022 November 25 20:00:00
2022020326,CBJ,NYI,2022 November 25 20:00:00
2022020327,BUF,NJD,2022 November 25 20:00:00
2022020328,TBL,STL,2022 November 25 20:00:00
2022020329,VGK,SEA,2022 November 25 20:00:00
2022020330,DAL,WPG,2022 November 25 20:30:00
2022020331,SJS,LAK,2022 November 25 22:30:00
2022020332,NYR,EDM,2022 November 26 13:00:00
2022020333,CAR,CGY,2022 November 26 16:00:00
2022020334,FLA,STL,2022 November 26 18:30:00
2022020335,PIT,TOR,2022 November 26 19:00:00
2022020336,NJD,WSH,2022 November 26 19:00:00
2022020337,NYI,PHI,2022 November 26 19:30:00
2022020338,NSH,CBJ,2023 January 17 20:00:00
2022020339,COL,DAL,2022 November 26 21:00:00
2022020340,VGK,VAN,2022 November 26 22:00:00
2022020341,MIN,ARI,2022 November 27 14:00:00
2022020342,CHI,WPG,2022 November 27 19:00:00
2022020343,ANA,SEA,2022 November 27 20:00:00
2022020344,SJS,VAN,2022 November 27 20:00:00
2022020345,LAK,OTT,2022 November 27 22:30:00
2022020346,NYR,NJD,2022 November 28 19:00:00
2022020347,BUF,TBL,2022 November 28 19:00:00
2022020348,DET,TOR,2022 November 28 19:00:00
2022020349,CBJ,VGK,2022 November 28 19:00:00
2022020350,STL,DAL,2022 November 28 20:00:00
2022020351,EDM,FLA,2022 November 28 21:30:00
2022020352,PIT,CAR,2022 November 29 19:00:00
2022020353,PHI,NYI,2022 November 29 19:30:00
2022020354,MTL,SJS,2022 November 29 19:00:00
2022020355,BOS,TBL,2022 November 29 19:00:00
2022020356,NSH,ANA,2022 November 29 20:00:00
2022020357,WPG,COL,2022 November 29 20:00:00
2022020358,CGY,FLA,2022 November 29 21:00:00
2022020359,VAN,WSH,2022 November 29 22:00:00
2022020360,LAK,SEA,2022 November 29 22:30:00
2022020361,DET,BUF,2022 November 30 19:00:00
2022020362,OTT,NYR,2022 November 30 19:00:00
2022020363,TOR,SJS,2022 November 30 19:00:00
2022020364,CHI,EDM,2022 November 30 21:30:00
2022020365,BUF,COL,2022 December 01 19:00:00
2022020366,NJD,NSH,2022 December 01 19:00:00
2022020367,PHI,TBL,2022 December 01 19:00:00
2022020368,PIT,VGK,2022 December 01 19:00:00
2022020369,STL,CAR,2022 December 01 20:00:00
2022020370,MIN,EDM,2022 December 01 20:00:00
2022020371,DAL,ANA,2022 December 01 20:30:00
2022020372,CGY,MTL,2022 December 01 21:00:00
2022020373,VAN,FLA,2022 December 01 22:00:00
2022020374,SEA,WSH,2022 December 01 22:00:00
2022020375,LAK,ARI,2022 December 01 22:30:00
2022020376,NYR,OTT,2022 December 02 19:00:00
2022020377,NYI,NSH,2022 December 02 19:30:00
2022020378,WPG,CBJ,2022 December 02 20:00:00
2022020379,MIN,ANA,2022 December 03 14:00:00
2022020380,BOS,COL,2022 December 03 19:00:00
2022020381,EDM,MTL,2022 December 03 19:00:00
2022020382,PHI,NJD,2022 December 03 19:00:00
2022020383,OTT,SJS,2022 December 03 19:00:00
2022020384,PIT,STL,2022 December 03 19:00:00
2022020385,TBL,TOR,2022 December 03 19:00:00
2022020386,DET,VGK,2022 December 03 19:00:00
2022020387,NYR,CHI,2022 December 03 19:30:00
2022020388,VAN,ARI,2022 December 03 22:00:00
2022020389,SEA,FLA,2022 December 03 22:00:00
2022020390,CGY,WSH,2022 December 03 22:00:00
