id,homeAbbrev,awayAbbrev,est
2023020001,TBL,NSH,2023 October 10 17:30:00
2023020002,PIT,CHI,2023 October 10 20:00:00
2023020003,VGK,SEA,2023 October 10 22:30:00
2023020004,CAR,OTT,2023 October 11 19:00:00
2023020005,TOR,MTL,2023 October 11 19:00:00
2023020006,BOS,CHI,2023 October 11 19:30:00
2023020007,CGY,WPG,2023 October 11 22:00:00
2023020008,LAK,COL,2023 October 11 22:00:00
2023020009,VAN,EDM,2023 October 11 22:00:00
2023020010,BUF,NYR,2023 October 12 19:00:00
2023020011,CBJ,PHI,2023 October 12 19:00:00
2023020012,NJD,DET,2023 October 12 19:30:00
2023020013,DAL,STL,2023 October 12 20:00:00
2023020014,MIN,FLA,2023 October 12 20:00:00
2023020015,NSH,SEA,2023 October 12 20:00:00
2023020016,SJS,VGK,2023 October 12 22:30:00
2023020017,NJD,ARI,2023 October 13 19:00:00
2023020018,WSH,PIT,2023 October 13 19:30:00
2023020019,OTT,PHI,2023 October 14 13:00:00
2023020020,WPG,FLA,2023 October 14 16:00:00
2023020021,BOS,NSH,2023 October 14 19:00:00
2023020022,CBJ,NYR,2023 October 14 19:00:00
2023020023,DET,TBL,2023 October 14 19:00:00
2023020024,MTL,CHI,2023 October 14 19:00:00
2023020025,PIT,CGY,2023 October 14 19:00:00
2023020026,TOR,MIN,2023 October 14 19:00:00
2023020027,NYI,BUF,2023 October 14 19:30:00
2023020028,STL,SEA,2023 October 14 20:00:00
2023020029,EDM,VAN,2023 October 14 22:00:00
2023020030,SJS,COL,2023 October 14 22:00:00
2023020031,VGK,ANA,2023 October 14 22:00:00
2023020032,LAK,CAR,2023 October 14 22:30:00
2023020033,OTT,TBL,2023 October 15 19:00:00
2023020034,ANA,CAR,2023 October 15 20:30:00
2023020035,CBJ,DET,2023 October 16 19:00:00
2023020036,NJD,FLA,2023 October 16 19:00:00
2023020037,NYR,ARI,2023 October 16 19:00:00
2023020038,TOR,CHI,2023 October 16 19:00:00
2023020039,WSH,CGY,2023 October 16 19:00:00
2023020040,BUF,TBL,2023 October 17 19:30:00
2023020041,MTL,MIN,2023 October 17 19:00:00
2023020042,PHI,VAN,2023 October 17 18:00:00
2023020043,NYI,ARI,2023 October 17 19:30:00
2023020044,NSH,EDM,2023 October 17 20:00:00
2023020045,WPG,LAK,2023 October 17 20:00:00
2023020046,SEA,COL,2023 October 17 22:00:00
2023020047,SJS,CAR,2023 October 17 22:30:00
2023020048,VGK,DAL,2023 October 17 22:30:00
2023020049,OTT,WSH,2023 October 18 19:00:00
2023020050,DET,PIT,2023 October 18 19:30:00
2023020051,BUF,CGY,2023 October 19 19:00:00
2023020052,FLA,TOR,2023 October 19 19:00:00
2023020053,NYR,NSH,2023 October 19 19:00:00
2023020054,PHI,EDM,2023 October 19 19:30:00
2023020055,TBL,VAN,2023 October 19 19:00:00
2023020056,MIN,LAK,2023 October 19 20:00:00
2023020057,STL,ARI,2023 October 19 20:00:00
2023020058,WPG,VGK,2023 October 19 20:00:00
2023020059,ANA,DAL,2023 October 19 22:00:00
2023020060,SEA,CAR,2023 October 19 22:00:00
2023020061,COL,CHI,2023 October 19 22:30:00
2023020062,SJS,BOS,2023 October 19 22:30:00
2023020063,CBJ,CGY,2023 October 20 19:00:00
2023020064,NYI,NJD,2023 October 20 19:30:00
2023020065,OTT,DET,2023 October 21 13:00:00
2023020066,ARI,ANA,2023 October 21 16:00:00
2023020067,BUF,NYI,2023 October 21 19:00:00
2023020068,FLA,VAN,2023 October 21 19:00:00
2023020069,MTL,WSH,2023 October 21 19:00:00
2023020070,TBL,TOR,2023 October 21 19:00:00
2023020071,CHI,VGK,2023 October 21 20:00:00
2023020072,DAL,PHI,2023 October 21 20:00:00
2023020073,MIN,CBJ,2023 October 21 20:00:00
2023020074,NSH,SJS,2023 October 21 20:00:00
2023020075,STL,PIT,2023 October 21 20:00:00
2023020076,COL,CAR,2023 October 21 21:00:00
2023020077,EDM,WPG,2023 October 21 22:00:00
2023020078,SEA,NYR,2023 October 21 22:00:00
2023020079,LAK,BOS,2023 October 21 22:30:00
2023020080,DET,CGY,2023 October 22 17:00:00
2023020081,ANA,BOS,2023 October 22 20:30:00
2023020082,BUF,MTL,2023 October 23 19:00:00
2023020083,WSH,TOR,2023 October 24 18:00:00
2023020084,CBJ,ANA,2023 October 24 20:30:00
2023020085,OTT,BUF,2023 October 24 18:45:00
2023020086,TBL,CAR,2023 October 24 19:00:00
2023020087,MTL,NJD,2023 October 24 19:15:00
2023020088,PIT,DAL,2023 October 24 19:30:00
2023020089,FLA,SJS,2023 October 24 19:45:00
2023020090,NYI,COL,2023 October 24 20:00:00
2023020091,DET,SEA,2023 October 24 20:15:00
2023020092,CHI,BOS,2023 October 24 20:30:00
2023020093,WPG,STL,2023 October 24 20:45:00
2023020094,MIN,EDM,2023 October 24 21:00:00
2023020095,NSH,VAN,2023 October 24 21:15:00
2023020096,CGY,NYR,2023 October 24 21:45:00
2023020097,LAK,ARI,2023 October 24 22:30:00
2023020098,VGK,PHI,2023 October 24 23:00:00
