tweet_id,author_id,handle,created_at,found_at,goalie_id,goalie_name,text
1657088698712743936,238963210,TonyBrarOTV,2023-05-12 02:21 PM,2023-05-12 02:28 PM,8479973,Stuart Skinner,EDM lines at Morning Skate:  RNH - McDavid - (Shore)* Kane - Draisaitl - Yamamoto Foegele - McLeod - Ryan Kostin - Bjugstad - Janmark Ekholm - Bouchard Kulak - Ceci Broberg - Desharnais  Skinner  *Shore likely a placeholder for Hyman who is not on the ice this AM #Oilers
1657196911110270976,45858152,drosennhl,2023-05-12 09:31 PM,2023-05-12 09:38 PM,8479973,Stuart Skinner,Adin Hill and Stuart Skinner lead their teams onto the ice here at T-Mobile Arena. Warmups underway for Game 5 between the Golden Knights and Oilers.
1657196723390017536,524814349,JesseGranger_,2023-05-12 09:31 PM,2023-05-12 09:38 PM,8479973,Stuart Skinner,Adin Hill and Stuart Skinner lead their teams onto the ice for warm ups.
