a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1627741715393089539,CF_DepthCharts,2023-02-20 01:47 PM,2023-02-20 01:58 PM,8476316,Laurent Brossoit,1.6280697630198497e+18,BenPopeCST,2023-02-21 11:30 AM,2023-02-21 11:38 AM,8475852.0,Petr Mrazek
1627741799438553090,RotoWireNHL,2023-02-20 01:47 PM,2023-02-20 01:58 PM,8476316,Laurent Brossoit,1.6280733163081892e+18,CF_DepthCharts,2023-02-21 11:45 AM,2023-02-21 11:50 AM,8475852.0,Petr Mrazek
1628152678944579585,8NewsNow,2023-02-21 05:00 PM,2023-02-21 05:28 PM,8476316,Laurent Brossoit,1.6280842561058038e+18,CRoumeliotis,2023-02-21 12:28 PM,2023-02-21 12:38 PM,8475852.0,Petr Mrazek
1628199656005206016,RyanHockeyGuy,2023-02-21 08:07 PM,2023-02-21 08:13 PM,8476316,Laurent Brossoit,,,,,,
