a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.6354693662075863e+18,CanadiensMTL,2023-03-13 10:34 PM,2023-03-13 10:58 PM,8478470.0,Sam Montembeault,1635657773047246852,PensInsideScoop,2023-03-14 11:02 AM,2023-03-14 11:05 AM,8477465,Tristan Jarry
1.6354693003738112e+18,HabsInHighHeels,2023-03-13 10:34 PM,2023-03-13 10:58 PM,8478470.0,Sam Montembeault,1635657898670866432,SethRorabaugh,2023-03-14 11:03 AM,2023-03-14 11:05 AM,8477465,Tristan Jarry
,,,,,,1635657567543218177,_ShellyAnderson,2023-03-14 11:02 AM,2023-03-14 11:05 AM,8477465,Tristan Jarry
,,,,,,1635664491386994690,ATTSportsNetPIT,2023-03-14 11:29 AM,2023-03-14 11:38 AM,8477465,Tristan Jarry
