a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1594770934136967168,CraigSMorgan,2022-11-21 02:13 PM,2022-11-21 02:28 PM,8478971,Connor Ingram,1.594748207875113e+18,emma_lingan,2022-11-21 12:42 PM,2022-11-21 12:50 PM,8477424.0,Juuse Saros
1594851526102568960,FantasyLabsNBA,2022-11-21 07:33 PM,2022-11-21 07:38 PM,8478971,Connor Ingram,,,,,,
1594851570147016705,RotoGrindersNBA,2022-11-21 07:33 PM,2022-11-21 07:38 PM,8478971,Connor Ingram,,,,,,
