a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.6092658388630446e+18,CanadiensMTL,2022-12-31 02:10 PM,2022-12-31 02:13 PM,8474596.0,Jake Allen,1609259509423144967,Tarik_ElBashir,2022-12-31 01:45 PM,2022-12-31 01:50 PM,8479292,Charlie Lindgren
1.6092672448815514e+18,RotoWireNHL,2022-12-31 02:16 PM,2022-12-31 02:28 PM,8474596.0,Jake Allen,1609259906154262529,StuCowan1,2022-12-31 01:47 PM,2022-12-31 01:50 PM,8479292,Charlie Lindgren
,,,,,,1609279020881043456,MayHockeyNBCS,2022-12-31 03:03 PM,2022-12-31 03:28 PM,8479292,Charlie Lindgren
