a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1631731424050167808,samikasan,2023-03-03 02:01 PM,2023-03-03 02:28 PM,8481033,Akira Schmid,1.6317374482493153e+18,VinceSapienza,2023-03-03 02:24 PM,2023-03-03 02:38 PM,8478499.0,Adin Hill
1631844457418203138,MattLoug,2023-03-03 09:30 PM,2023-03-03 09:38 PM,8481033,Akira Schmid,,,,,,
1631847630190911489,RotoWireNHL,2023-03-03 09:42 PM,2023-03-03 09:43 PM,8481033,Akira Schmid,,,,,,
