a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.6016453765658296e+18,MDeFranks,2022-12-10 01:29 PM,2022-12-10 01:38 PM,8478024.0,Ville Husso,1601631872165220352,BruceLeVinePuck,2022-12-10 12:36 PM,2022-12-10 12:38 PM,8479979,Jake Oettinger
1.6016481012064174e+18,RotoWireNHL,2022-12-10 01:40 PM,2022-12-10 01:43 PM,8478024.0,Ville Husso,1601633838274338816,RotoWireNHL,2022-12-10 12:43 PM,2022-12-10 12:50 PM,8479979,Jake Oettinger
,,,,,,1601635891537416193,OwenNewkirk,2022-12-10 12:52 PM,2022-12-10 12:58 PM,8479979,Jake Oettinger
