a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.4698682137102418e+18,icemancometh,2021-12-11 10:14 PM,2021-12-12 11:28 AM,8476932.0,Anthony Stolarz,1470163529105907727,lkorac10,2021-12-12 05:47 PM,2021-12-12 05:58 PM,8476903,Jon Gillies
1.47008101714697e+18,FantasyAlarmNHL,2021-12-12 12:20 PM,2021-12-12 12:28 PM,8476932.0,Anthony Stolarz,1470163524798328838,Ferrario101ESPN,2021-12-12 05:47 PM,2021-12-12 05:58 PM,8476903,Jon Gillies
1.470174610196992e+18,ElliottTeaford,2021-12-12 06:31 PM,2021-12-12 06:38 PM,8476932.0,Anthony Stolarz,1470168595678302213,FantasyAlarmNHL,2021-12-12 06:08 PM,2021-12-12 06:28 PM,8476903,Jon Gillies
,,,,,,1470174610196992007,ElliottTeaford,2021-12-12 06:31 PM,2021-12-12 06:38 PM,8476903,Jon Gillies
