a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.4915725031012475e+18,brooksbratten,2022-02-09 07:39 PM,2022-02-09 07:43 PM,8477424.0,Juuse Saros,1491454464452009984,MDeFranks,2022-02-09 11:50 AM,2022-02-09 11:58 AM,8479979,Jake Oettinger
1.491573636842537e+18,FantasyAlarmNHL,2022-02-09 07:44 PM,2022-02-09 07:50 PM,8477424.0,Juuse Saros,1491460194605412357,BruceLeVinePuck,2022-02-09 12:13 PM,2022-02-09 12:28 PM,8479979,Jake Oettinger
,,,,,,1491464548041166849,NBCSEdgeHK,2022-02-09 12:30 PM,2022-02-09 12:38 PM,8479979,Jake Oettinger
,,,,,,1491464421469794320,FantasyAlarmNHL,2022-02-09 12:30 PM,2022-02-09 12:38 PM,8479979,Jake Oettinger
