a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.4490447380075192e+18,CRoumeliotis,2021-10-15 12:09 PM,2021-10-15 12:13 PM,8480947.0,Kevin Lankinen,1449020000430342149,mikemorrealeNHL,2021-10-15 10:31 AM,2021-10-15 10:58 AM,8473541,Jonathan Bernier
1.4490454595830497e+18,RotoWireNHL,2021-10-15 12:12 PM,2021-10-15 12:13 PM,8480947.0,Kevin Lankinen,1449025968761360384,DRdiabloTHW,2021-10-15 10:54 AM,2021-10-15 10:58 AM,8473541,Jonathan Bernier
1.449103055497093e+18,mikemorrealeNHL,2021-10-15 04:01 PM,2021-10-15 04:28 PM,8480947.0,Kevin Lankinen,1449036428139192327,amandacstein,2021-10-15 11:36 AM,2021-10-15 11:38 AM,8473541,Jonathan Bernier
,,,,,,1449036592811757569,ErikaWachter,2021-10-15 11:37 AM,2021-10-15 11:38 AM,8473541,Jonathan Bernier
,,,,,,1449038505515044864,DevilsArmyBlog,2021-10-15 11:44 AM,2021-10-15 11:50 AM,8473541,Jonathan Bernier
,,,,,,1449048380722843663,RotoWireNHL,2021-10-15 12:23 PM,2021-10-15 12:28 PM,8473541,Jonathan Bernier
,,,,,,1449059255013691392,NBCSEdgeHK,2021-10-15 01:07 PM,2021-10-15 01:13 PM,8473541,Jonathan Bernier
,,,,,,1449058994941747200,FantasyAlarmNHL,2021-10-15 01:06 PM,2021-10-15 01:13 PM,8473541,Jonathan Bernier
,,,,,,1449068805288873989,NJDevils,2021-10-15 01:45 PM,2021-10-15 01:50 PM,8473541,Jonathan Bernier
,,,,,,1449147442599976964,CRoumeliotis,2021-10-15 06:57 PM,2021-10-15 06:58 PM,8473541,Jonathan Bernier
