a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1463998186037694465,markhmasters,2021-11-25 05:29 PM,2021-11-25 05:58 PM,8479361,Joseph Woll,1.4643376721854628e+18,FantasyAlarmNHL,2021-11-26 03:58 PM,2021-11-26 03:59 PM,8473503.0,James Reimer
1464003468339859461,FantasyAlarmNHL,2021-11-25 05:50 PM,2021-11-25 05:58 PM,8479361,Joseph Woll,,,,,,
1464016559337140240,TLNdc,2021-11-25 06:42 PM,2021-11-25 06:58 PM,8479361,Joseph Woll,,,,,,
