a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1461477513666957314,RotoWireNHL,2021-11-18 06:32 PM,2021-11-18 06:38 PM,8478406,Mackenzie Blackwood,1.4613639446232023e+18,FlaPanthers,2021-11-18 11:01 AM,2021-11-18 11:05 AM,8481519.0,Spencer Knight
1461479337954353153,FantasyAlarmNHL,2021-11-18 06:40 PM,2021-11-18 06:43 PM,8478406,Mackenzie Blackwood,,,,,,
1461498595123761153,ProFantasySport,2021-11-18 07:56 PM,2021-11-18 07:58 PM,8478406,Mackenzie Blackwood,,,,,,
