a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.4697236771724124e+18,Erik_Erlendsson,2021-12-11 12:40 PM,2021-12-11 12:43 PM,8470880.0,Brian Elliott,1469688614032494592,SunGarrioch,2021-12-11 10:20 AM,2021-12-11 10:28 AM,8476341,Anton Forsberg
1.4697249530040975e+18,SensCentral,2021-12-11 12:45 PM,2021-12-11 12:50 PM,8470880.0,Brian Elliott,1469697990029987841,FantasyAlarmNHL,2021-12-11 10:58 AM,2021-12-11 10:59 AM,8476341,Anton Forsberg
,,,,,,1469698878563704835,NBCSEdgeHK,2021-12-11 11:01 AM,2021-12-11 11:05 AM,8476341,Anton Forsberg
