a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.5073898880643727e+18,SamanthaJPell,2022-03-25 12:12 PM,2022-03-25 12:28 PM,8478492.0,Ilya Samsonov,1507378405381222403,ByMHarrington,2022-03-25 11:26 AM,2022-03-25 11:28 AM,8474682,Dustin Tokarski
1.507448673487233e+18,NBCSCapitals,2022-03-25 04:05 PM,2022-03-25 04:28 PM,8478492.0,Ilya Samsonov,1507394643226365964,NBCSEdgeHK,2022-03-25 12:31 PM,2022-03-25 12:38 PM,8474682,Dustin Tokarski
,,,,,,1507401937150521358,BuffaloSabres,2022-03-25 01:00 PM,2022-03-25 01:05 PM,8474682,Dustin Tokarski
