a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.5044996419828982e+18,NHLAdamK,2022-03-17 12:47 PM,2022-03-17 12:50 PM,8477424.0,Juuse Saros,1504469000893333519,NHLAdamK,2022-03-17 10:45 AM,2022-03-17 10:59 AM,8479394,Carter Hart
1.5045862640451052e+18,brooksbratten,2022-03-17 06:31 PM,2022-03-17 06:38 PM,8477424.0,Juuse Saros,1504491835284242436,JameyBaskow,2022-03-17 12:16 PM,2022-03-17 12:28 PM,8474889,Martin Jones
,,,,,,1504491574763401225,JameyBaskow,2022-03-17 12:15 PM,2022-03-17 12:28 PM,8479394,Carter Hart
