a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.488561776207745e+18,RussoHockey,2022-02-01 12:15 PM,2022-02-01 12:59 PM,8475660.0,Cam Talbot,1488927297465995268,BenPopeCST,2022-02-02 12:28 PM,2022-02-02 12:38 PM,8470594,Marc-Andre Fleury
1.4885617430140273e+18,jessi_pierce,2022-02-01 12:15 PM,2022-02-01 12:59 PM,8475660.0,Cam Talbot,1489064400074035201,FantasyLabsNBA,2022-02-02 09:33 PM,2022-02-02 09:38 PM,8482528,Cale Morris
1.488563168054059e+18,RJstrib,2022-02-01 12:21 PM,2022-02-01 12:59 PM,8475660.0,Cam Talbot,1489063917833891843,AwesemoNBA,2022-02-02 09:31 PM,2022-02-02 09:38 PM,8482528,Cale Morris
1.4889896243075277e+18,SKORNorth,2022-02-02 04:36 PM,2022-02-02 04:58 PM,8475660.0,Cam Talbot,1489064193806458882,RotoGrindersNBA,2022-02-02 09:32 PM,2022-02-02 09:38 PM,8482528,Cale Morris
,,,,,,1489066054265413636,HoopBallFantasy,2022-02-02 09:39 PM,2022-02-02 09:43 PM,8482528,Cale Morris
