a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.456391311955841e+18,FantasyAlarmNHL,2021-11-04 06:42 PM,2021-11-04 06:43 PM,8471306.0,Thomas Greiss,1456009600814174227,BostonGlobe,2021-11-03 05:25 PM,2021-11-03 05:58 PM,8480280,Jeremy Swayman
,,,,,,1456003751714562048,BGlobeSports,2021-11-03 05:02 PM,2021-11-03 05:58 PM,8480280,Jeremy Swayman
,,,,,,1456255751752667136,NHLBruins,2021-11-04 09:43 AM,2021-11-04 09:59 AM,8480280,Jeremy Swayman
,,,,,,1456304961588015107,NHLBruins,2021-11-04 12:58 PM,2021-11-04 01:05 PM,8480280,Jeremy Swayman
