a_tweet_id,a_handle,a_created_at,a_found_at,a_goalie_id,a_goalie_name,h_tweet_id,h_handle,h_created_at,h_found_at,h_goalie_id,h_goalie_name
1.4658049366844498e+18,RotoWireNHL,2021-11-30 05:08 PM,2021-11-30 05:28 PM,8475809.0,Scott Wedgewood,1465716630063763457,RussoHockey,2021-11-30 11:17 AM,2021-11-30 11:28 AM,8478039,Kaapo Kahkonen
,,,,,,1465721287234437132,FantasyAlarmNHL,2021-11-30 11:36 AM,2021-11-30 11:38 AM,8478039,Kaapo Kahkonen
,,,,,,1465722176150016007,NBCSEdgeHK,2021-11-30 11:39 AM,2021-11-30 11:43 AM,8478039,Kaapo Kahkonen
